GMDNAME,KTNAME,LAT_CNTR,LONG_CNTR,HEIGHT_CNTR,BEVDICHTE_SQKM_ 2019,AUSLAENDER_ANTEIL_2019,ALTERSVERTEILUNG_ANTEIL_0_19_ 2019,ALTERSVERTEILUNG_ANTEIL_20_64_ 2019,ALTERSVERTEILUNG_ANTEIL_65PLUS_ 2019,PRIVATHAUSHALTE_2019,DURCHSCH_HAUSHALTSGROESSE_2019,GESAMTFLAECHE_ SQKM_2016,LANDWIRTSCHAFTSFLAECHE_ANTEIL_2004/09,WALD_GEHOELZE_ANTEIL_2004/09,UNPRODUKTIVE_FLAECHE_ANTEIL_2004/09,BESCHAEFTIGTE_TOTAL_2018,BESCHAEFTIGTE_ERSTERSEKTOR_2018,BESCHAEFTIGTE_ZWEITERRSEKTOR_2018,BESCHAEFTIGTE_DRITTERSEKTOR_2018,ARBEITSSTAETTEN_TOTAL_2018,ARBEITSSTAETTEN_ERSTERSEKTOR_2018,ARBEITSSTAETTEN_ZWEITERSEKTOR_2018,ARBEITSSTAETTEN_DRITTERSEKTOR_2018,NEUWOHNUNGEN_PRO_1000_2018,SOZAILHILFEQUOTE_2019,WAEHLERANTEIL_FDP_2019,WAEHLERANTEIL_CVP_2019,WAEHLERANTEIL_SP_2019,WAEHLERANTEIL_SVP_2019,WAEHLERANTEIL_EVP_CSP_2019,WAEHLERANTEIL_GLP_2019,WAEHLERANTEIL_BDP_2019,WAEHLERANTEIL_PDA_SOL_2019,WAEHLERANTEIL_GPS_2019,WAEHLERANTEIL_KLEINERECHTSPARTEIN_2019,AVG_INCOME_PRO_STEUERPFLPERSON,STEUERBARES_EINKOMMEN_GEMEINDE,ANZAHL_FAHRZEUGE,ANZAHL_HALTESTELLEN_OV,Anzahl Filialen Coop,Anzahl Filialen Migros,Anzahl Filialen Denner,Anzahl Filialen Spar
Aadorf,Thurgau,47.489522055137,8.90893659955656,590.048731760122,453.7111334,15.83950481,20.404554,60.36255112,19.23289488,3908,2.294524053,19.94,53.38685399,27.99799298,0.501756147,3539.0,118.0,1462.0,1959.0,562.0,48.0,103.0,411.0,4.952166573,1.07,11.398277,15.48045063,10.72895958,37.41550696,3.412856196,7.912524851,2.080848244,,9.589131875,1.981444665,68464.601333004,277.3501,6014.00000129457,9,1,1,1,0
Aarau,Aargau,47.3902363879182,8.04522704922001,436.236994015053,1764.424635,20.93877738,17.38391586,64.41464199,18.20144215,10591,2.014068549,12.34,11.40776699,32.2815534,7.1197411,34888.0,29.0,3213.0,31646.0,2648.0,10.0,170.0,2468.0,21.95787098,3.58,16.68070376,5.660683516,26.42811334,16.34767693,3.623115617,10.85312048,2.539039863,,14.6802247,0.629737519,72516.345148722,763.0895,10976.000000247564,51,3,4,2,0
Aarberg,Bern,47.0454176552458,7.27808793740302,500.020013210364,584.110971,12.88860104,19.62435233,59.04576857,21.3298791,2146,2.13000932,7.93,44.20654912,29.72292191,2.644836272,2876.0,119.0,799.0,1958.0,352.0,18.0,60.0,274.0,3.492687186,2.74,9.919585965,0.993349843,14.82512034,33.66815994,3.817579788,9.844458666,12.19009989,0.303291689,10.25626756,1.811402655,64687.799155326,137.8497,2807.999999411443,11,1,0,1,0
Aarburg,Aargau,47.3198496174076,7.90025004437742,445.406222724356,1899.319728,44.13801337,20.47516714,65.22206304,14.30276982,3735,2.213119143,4.41,19.31818182,31.13636364,3.863636364,3466.0,15.0,1095.0,2356.0,409.0,7.0,62.0,340.0,2.602875558,4.92,11.3231082,5.880994179,20.9646124,34.90252241,3.095260094,6.43074933,2.642520558,,10.51926453,1.723182112,60540.820871779,190.2798,4758.00000215955,10,0,1,1,0
Aarwangen,Bern,47.2402442895438,7.77013046084433,485.533291275613,466.6666667,15.90909091,20.54112554,60.12987013,19.32900433,1962,2.298674822,9.9,45.79533941,35.96757852,3.242147923,1593.0,75.0,570.0,948.0,255.0,24.0,46.0,185.0,20.15950377,3.92,11.62244291,1.259359043,13.28905736,38.64540585,2.56257636,9.059866546,8.677673005,0.137840293,9.006610069,2.048807995,65314.566284779,119.7216,2699.0000003537616,4,0,1,1,0
Abtwil,Aargau,47.1741087806665,8.3554181927786,583.696213975549,232.2891566,12.65560166,24.06639004,64.62655602,11.30705394,377,2.541114058,4.15,69.56521739,22.22222222,0.0,174.0,48.0,52.0,74.0,66.0,17.0,13.0,36.0,0.0,,8.388359012,16.58107117,8.094888726,44.31401321,1.076057716,10.29591587,3.81511372,,6.187331866,0.244558572,72298.387096774,26.895,633.9999999266372,4,0,0,0,1
Aclens,Vaud,46.567675747679,6.50995741793213,512.989938273095,138.2051282,24.30426716,22.82003711,63.26530612,13.91465677,217,2.483870968,3.9,68.46153846,13.84615385,0.769230769,1690.0,19.0,432.0,1239.0,103.0,7.0,38.0,58.0,0.0,,23.5034888,0.367242013,21.44693353,22.03452075,0.330517811,9.474843922,0.183621006,4.260007345,16.15864855,0.734484025,90040.254237288,21.2495,558.00000010602,3,0,0,0,0
Acquarossa,Ticino,46.46182933691,8.93053670490431,680.695358432829,29.34606669,12.07942637,16.6574738,57.03254275,26.30998345,840,2.114285714,61.78,21.27246236,56.11138093,19.07074632,838.0,94.0,149.0,595.0,202.0,38.0,37.0,127.0,3.243243243,1.88,15.63470698,27.97680679,13.72955063,9.898529716,,0.641954856,,0.35203976,10.31269414,18.45102506,50628.378378378,41.2115,1171.0000005098354,31,1,0,0,0
Adelboden,Bern,46.4931530523569,7.55847091494726,1407.82319231611,38.26047255,7.846062053,19.86873508,58.20405728,21.92720764,1471,2.243371856,87.61,41.52213601,18.27932451,37.71109083,2493.0,365.0,566.0,1562.0,401.0,120.0,70.0,211.0,13.05250667,0.41,4.190968172,0.369382881,5.238015886,44.75365217,5.27412098,7.401544187,4.843637172,0.163861579,2.813419986,22.23518303,54195.085803432,69.4781,1826.999999771625,59,1,0,0,0
Adligenswil,Luzern,47.0705905579952,8.36418133549715,582.97585131973,781.1158798,10.97069597,21.66666667,55.05494505,23.27838828,2254,2.405944987,6.99,50.85959885,23.63896848,2.005730659,1559.0,64.0,321.0,1174.0,342.0,22.0,42.0,278.0,10.48100318,0.61,16.65956994,16.71811795,16.84585906,23.6321056,0.840962316,10.40025548,,,14.58377688,0.047902917,87829.778581112,194.3673,2749.0000000431214,8,1,2,0,1
