gemeinde.NAME,geometry,BEVDICHTE_SQKM_2019,AUSLAENDER_ANTEIL_2019,ALTERSVERTEILUNG_ANTEIL_0_19_2019,ALTERSVERTEILUNG_ANTEIL_20_64_2019,ALTERSVERTEILUNG_ANTEIL_65PLUS_2019,PRIVATHAUSHALTE_2019,GESAMTFLAECHE_SQKM_2016,LANDWIRTSCHAFTSFLAECHE_ANTEIL_2004,WALD_GEHOELZE_ANTEIL_2004,UNPRODUKTIVE_FLAECHE_ANTEIL_2004,BESCHAEFTIGTE_ERSTERSEKTOR_2018,BESCHAEFTIGTE_ZWEITERSEKTOR_2018,BESCHAEFTIGTE_DRITTERSEKTOR_2018,NEUWOHNUNGEN_PRO_1000_2018,SOZAILHILFEQUOTE_2019,WAEHLERANTEIL_SP_2019,WAEHLERANTEIL_SVP_2019,AVG_INCOME_PRO_STEUERPFLPERSON,ANZAHL_FAHRZEUGE,ANZAHL_HALTESTELLEN_OV,ANZAHL_FILIALEN_MIGROS,GMDNAME,linregModel,knnModel,rfModel,xgbrModel,ensemble
Aeugst am Albis,"MULTIPOLYGON (((8.503884315334565 47.27307822623307, 8.508547493500318 47.27449745123842, 8.509844836842152 47.27684424826691, 8.508248106575278 47.27788726916847, 8.511024239880182 47.27938810458787, 8.511350843798406 47.282895361894234, 8.506796533605396 47.285817412816904, 8.503276469153427 47.28560442954121, 8.493065560543398 47.292447761334216, 8.493147211522954 47.29129526304796, 8.485435730120447 47.293030977220006, 8.48397054865397 47.28913159182661, 8.477302385323565 47.288898703571874, 8.473006636565813 47.28727047628662, 8.471133200201557 47.28431259640169, 8.475828131526026 47.28355819769618, 8.476984853736402 47.281599547758915, 8.472866015434356 47.281840398005265, 8.47354644026399 47.28004098790029, 8.472226416094502 47.27945976251241, 8.472208271432379 47.27403764622266, 8.47375510387841 47.27405556070379, 8.476785262453044 47.26893400959751, 8.474830175109231 47.26755658504813, 8.475111417372146 47.264471313297356, 8.472412398881268 47.26338450144192, 8.47436295005955 47.260522165456365, 8.484056735799056 47.257219929434086, 8.487073285877097 47.26068936728028, 8.49486641825916 47.25974189027811, 8.500677246304228 47.261274573663975, 8.502156036267298 47.26131836461786, 8.503671115554614 47.264837564911645, 8.501085501202008 47.272459181385, 8.503884315334565 47.27307822623307)))",250.4424779,14.18475517,19.78798587,62.19081272,18.02120141,848.0,7.91,51.13924051,30.88607595,5.316455696,39.0,25.0,378.0,13.91035549,1.01,11.56510206,30.3809594,105013.57063404,1221.9999998859466,6.0,0,Aeugst am Albis,0,0,0,0,0
Affoltern am Albis,"MULTIPOLYGON (((8.41466247550754 47.29360025962047, 8.416526839540735 47.291661514662245, 8.419570606611959 47.29287571838351, 8.419439057811564 47.290096983309915, 8.423789240555685 47.28497344170572, 8.426138974300684 47.27914526384362, 8.429504809124603 47.28034752457747, 8.432063206484024 47.27852223799975, 8.432503214540521 47.280427144493615, 8.435850904702315 47.27994146300511, 8.43863157417275 47.27696765913694, 8.436005134330365 47.27465669107072, 8.44446508304547 47.26622096095473, 8.446243259933578 47.26602390166226, 8.446089030305528 47.263376539450306, 8.448225564270576 47.263786582018476, 8.44773565839324 47.267807387783996, 8.453632673583394 47.26830501225993, 8.461480239951829 47.26379454401009, 8.467912522674627 47.26330090052996, 8.46843871787621 47.26464448661498, 8.472412398881268 47.26338450144192, 8.475111417372146 47.264471313297356, 8.474830175109231 47.26755658504813, 8.476785262453044 47.26893400959751, 8.47375510387841 47.27405556070379, 8.472208271432379 47.27403764622266, 8.472226416094502 47.27945976251241, 8.47354644026399 47.28004098790029, 8.472866015434356 47.281840398005265, 8.476984853736402 47.281599547758915, 8.475828131526026 47.28355819769618, 8.471133200201557 47.28431259640169, 8.473006636565813 47.28727047628662, 8.477302385323565 47.288898703571874, 8.476753509294326 47.29307476817389, 8.468629236828509 47.29365798405968, 8.466701366477881 47.292403970380334, 8.46496401507955 47.294175513514645, 8.46393430550404 47.29280007946318, 8.460396096389948 47.294139684552384, 8.459729280056907 47.290395557995474, 8.456699121482274 47.29140474043266, 8.450770353133404 47.28892458004462, 8.44936414181883 47.290417453472415, 8.443947960174949 47.29047318741372, 8.441480286126147 47.293843100364725, 8.439384577650877 47.29337732385525, 8.439175914036456 47.29552905208918, 8.435333781831794 47.29557085254516, 8.434313144587344 47.297680780323105, 8.429663574918184 47.298478969982504, 8.429137379716602 47.30067647966821, 8.41466247550754 47.29360025962047)))",1161.756374,28.700317,20.16581322,61.66788588,18.1663009,5412.0,10.59,40.17094017,28.20512821,0.949667616,47.0,1307.0,5566.0,3.787255063,3.02,14.64525453,30.30691996,71059.805603202,6367.999998259002,14.0,3,Affoltern am Albis,2,2,2,1,2
Bonstetten,"MULTIPOLYGON (((8.441321520332565 47.31582814971137, 8.446792135962816 47.31437110524585, 8.450711382981503 47.3109295343703, 8.452035943316522 47.31235672136727, 8.454880119104388 47.309247563641655, 8.476776190121981 47.29832371114601, 8.481684321226401 47.29861034284415, 8.482768464788284 47.29713737439539, 8.483834463688043 47.298136604343064, 8.480332543898196 47.3013074675037, 8.482142473945022 47.309816846042125, 8.483680234059992 47.311439101833656, 8.485394904630668 47.310573235245535, 8.491936055326207 47.312271129957416, 8.48622955908835 47.31347538118917, 8.483426208790263 47.316226249292114, 8.483489715107694 47.31987085095384, 8.486057184798177 47.322002674208726, 8.483766421205079 47.32377819833885, 8.482210516427985 47.323463699670064, 8.481688857391934 47.32510984143644, 8.477923840001296 47.324640083931165, 8.47717990885423 47.32746858145236, 8.465544644267505 47.32795625343877, 8.465608150584938 47.3324089972494, 8.460096709464908 47.33028513598613, 8.455233940015798 47.33481749971291, 8.45412257946073 47.33475380377999, 8.455084246553279 47.33382623175686, 8.452412445055586 47.32870269015267, 8.448515878864553 47.32597371752666, 8.449962915668905 47.32551192201299, 8.449169086701001 47.323350241289546, 8.44579417954602 47.31999426182387, 8.440527691364661 47.31784850508365, 8.441321520332565 47.31582814971137)))",749.9327052,16.5649677,23.63603733,59.83488873,16.52907394,2327.0,7.43,55.51075269,28.62903226,0.403225807,34.0,111.0,869.0,0.181422351,1.51,16.74289094,26.11631296,88927.698145025,2775.999999838199,8.0,1,Bonstetten,0,1,0,1,0
Hausen am Albis,"MULTIPOLYGON (((8.574376327684556 47.21706760572014, 8.577179677982645 47.218658013545216, 8.580064679260289 47.21959155706206, 8.579960347453078 47.22154423550562, 8.576127287579478 47.22258725640717, 8.57434911069137 47.22588551143364, 8.568837669571343 47.22743411880274, 8.563466849582772 47.23294182650235, 8.55901687119697 47.241039171974705, 8.547653776542099 47.24776307389349, 8.535451491264011 47.2609700274847, 8.531881528991203 47.266264751908615, 8.525317697468008 47.26767601492235, 8.52184753083688 47.26519585453431, 8.518495304509553 47.266437925226235, 8.515592158569785 47.270653799786324, 8.515574013907662 47.27349025929914, 8.51116939717717 47.27011636535232, 8.503884315334565 47.27307822623307, 8.501085501202008 47.272459181385, 8.503671115554614 47.264837564911645, 8.502156036267298 47.26131836461786, 8.516735272283569 47.25116284431305, 8.513841198674863 47.25014968088005, 8.514403683200694 47.237625468069815, 8.522287538893377 47.23774688844194, 8.52286816808133 47.23922781888231, 8.53054336015959 47.23440882345739, 8.538554228487138 47.233003531937364, 8.542922555893382 47.229609733011515, 8.537705965532862 47.228638370034496, 8.543203798156298 47.22475291812642, 8.54132128946098 47.224096053818194, 8.543952265468894 47.223236158723786, 8.543453287260496 47.22204584097736, 8.552965626378768 47.22165371289032, 8.55385017865729 47.223236158723786, 8.560355040028583 47.21954378511237, 8.572852176066178 47.2183833248345, 8.574376327684556 47.21706760572014)))",275.8088235,16.02239403,22.1807518,59.82404692,17.99520128,1552.0,13.6,55.90608951,28.83345561,2.567865004,93.0,136.0,792.0,3.002183406,1.19,13.71150867,33.18477961,86300.455136541,2144.0000000152463,10.0,0,Hausen am Albis,0,0,0,0,0
Hedingen,"MULTIPOLYGON (((8.436213797944786 47.31519716187589, 8.432054134152963 47.311544598222554, 8.432081351146149 47.30837572555983, 8.42927800084806 47.3072431322526, 8.430747718480067 47.30498590762978, 8.428552214363117 47.301152208667204, 8.429137379716602 47.30067647966821, 8.429663574918184 47.298478969982504, 8.434313144587344 47.297680780323105, 8.435333781831794 47.29557085254516, 8.439175914036456 47.29552905208918, 8.439384577650877 47.29337732385525, 8.441480286126147 47.293843100364725, 8.443947960174949 47.29047318741372, 8.44936414181883 47.290417453472415, 8.450770353133404 47.28892458004462, 8.456699121482274 47.29140474043266, 8.459729280056907 47.290395557995474, 8.460396096389948 47.294139684552384, 8.46393430550404 47.29280007946318, 8.46496401507955 47.294175513514645, 8.466701366477881 47.292403970380334, 8.468629236828509 47.29365798405968, 8.476753509294326 47.29307476817389, 8.482768464788284 47.29713737439539, 8.481684321226401 47.29861034284415, 8.476776190121981 47.29832371114601, 8.454880119104388 47.309247563641655, 8.452035943316522 47.31235672136727, 8.450711382981503 47.3109295343703, 8.446792135962816 47.31437110524585, 8.441321520332565 47.31582814971137, 8.436213797944786 47.31519716187589)))",578.56049,16.41079936,21.62519852,61.64637374,16.72842774,1580.0,6.53,46.34146341,33.23170732,0.609756098,29.0,679.0,770.0,3.248511099,1.47,16.73832344,26.60179107,90811.205330103,1980.000000198,3.0,0,Hedingen,1,0,0,0,0
Kappel am Albis,"MULTIPOLYGON (((8.498404627373253 47.21206747498598, 8.502818316434807 47.212107284944054, 8.505893836664749 47.21385693260143, 8.505063718372597 47.21475663765391, 8.51234426404967 47.21551700785314, 8.512575608491746 47.21941440274863, 8.521226076159149 47.220178753943664, 8.531092236188828 47.217561249200266, 8.532557417655305 47.222131432387215, 8.536372332866781 47.22059874900135, 8.539343521289512 47.22308089988729, 8.543453287260496 47.22204584097736, 8.543952265468894 47.223236158723786, 8.54132128946098 47.224096053818194, 8.543203798156298 47.22475291812642, 8.537705965532862 47.228638370034496, 8.542922555893382 47.229609733011515, 8.538554228487138 47.233003531937364, 8.53054336015959 47.23440882345739, 8.52286816808133 47.23922781888231, 8.522287538893377 47.23774688844194, 8.523603026897334 47.23745030425429, 8.523258278316986 47.23560312219963, 8.51591422632248 47.234763132084254, 8.514566985159805 47.233184667246604, 8.511568579743889 47.233769873630294, 8.51294757406528 47.22916983297479, 8.50313584802197 47.231825157178356, 8.498427308200908 47.23599126929086, 8.49409073395338 47.23506369726772, 8.490489018521854 47.237263197451334, 8.48780360852757 47.236361501900944, 8.48387528917782 47.23760755358868, 8.482859188098901 47.23548568282331, 8.491414396290155 47.228214393981, 8.488597437495475 47.22334762660639, 8.490225920921063 47.221319309242496, 8.488851462765204 47.22072215987138, 8.489223428338736 47.21892474026431, 8.485444802451507 47.21842313479257, 8.485549134258719 47.215256252627746, 8.489141777359182 47.21081147080873, 8.498404627373253 47.21206747498598)))",154.1666667,17.52661753,24.97952498,61.17936118,13.84111384,493.0,7.92,69.9488491,20.58823529,1.150895141,56.0,81.0,182.0,37.33333333,0.69,9.074159374,43.63580531,87984.110169491,683.0000000022766,6.0,0,Kappel am Albis,0,0,0,0,0
Knonau,"MULTIPOLYGON (((8.485444802451507 47.21842313479257, 8.484868709429085 47.22115011692068, 8.472376109557022 47.22606067524917, 8.467354574314328 47.23033029325266, 8.46689642159571 47.23354096637137, 8.464787104623847 47.23497014386624, 8.458568021681 47.2340366003494, 8.457833162864995 47.23567278962626, 8.45555600776849 47.23530454751407, 8.45248502370408 47.23957615601547, 8.448928669927863 47.23906857905001, 8.448475053374775 47.237764802923074, 8.445444894800142 47.24260171282913, 8.442596182846746 47.240973485543876, 8.440904193103723 47.24473353608401, 8.4379193961844 47.24358302829566, 8.437034843905877 47.23878592834769, 8.438794876131862 47.23784243234132, 8.437638153921485 47.237010404217564, 8.4423693745702 47.234806923038136, 8.440563980688907 47.23324637268162, 8.445376852317178 47.229472388656156, 8.447667615910277 47.225135093723935, 8.446225115271455 47.22483651903838, 8.446651514831359 47.223377484074945, 8.447808237041734 47.22002349510717, 8.452108521965016 47.21959951905368, 8.45295224875376 47.21776029899063, 8.45668551298568 47.21857043163745, 8.461412197468865 47.21363001584041, 8.466959927913141 47.21428090865492, 8.47384582718903 47.210622373507874, 8.473306023490853 47.20852438871735, 8.476227314092744 47.21001925264305, 8.479906144338294 47.20861993261673, 8.483834463688043 47.20844675929911, 8.489141777359182 47.21081147080873, 8.485549134258719 47.215256252627746, 8.485444802451507 47.21842313479257)))",367.5425039,18.29268293,24.34819176,60.97560976,14.67619849,927.0,6.47,62.24961479,17.10323575,2.619414484,55.0,108.0,403.0,5.639913232,0.84,11.43236404,32.26863567,79514.421052632,1199.0000001281433,3.0,0,Knonau,0,0,0,0,0
Maschwanden,"MULTIPOLYGON (((8.43521130536246 47.247560043107306, 8.428756341812008 47.246142808599856, 8.427826427878175 47.247229620455286, 8.42013762730332 47.24605721718999, 8.416490550216487 47.24714601954333, 8.414276901437415 47.246421478306374, 8.414009267671092 47.243670610203424, 8.416495086382017 47.24132182267703, 8.41420432278892 47.23915417045988, 8.416417971567993 47.237145758075016, 8.417034890080194 47.2337718641282, 8.41818707612504 47.226620005160115, 8.420940528602287 47.225646651685196, 8.421693532080415 47.22331975963574, 8.429767906725395 47.22494997741889, 8.437166392706272 47.223686011250024, 8.441131001380269 47.225214713640085, 8.443811875209022 47.22263701885476, 8.446651514831359 47.223377484074945, 8.446225115271455 47.22483651903838, 8.447667615910277 47.225135093723935, 8.445376852317178 47.229472388656156, 8.440563980688907 47.23324637268162, 8.4423693745702 47.234806923038136, 8.437638153921485 47.237010404217564, 8.438794876131862 47.23784243234132, 8.437034843905877 47.23878592834769, 8.4379193961844 47.24358302829566, 8.43521130536246 47.247560043107306)))",137.5266525,12.86821705,22.01550388,59.53488372,18.4496124,274.0,4.69,59.61538462,23.71794872,7.692307692,49.0,49.0,77.0,0.0,3.032,16.93929972,44.51804786,75078.321678322,382.9999999506355,2.0,0,Maschwanden,0,0,0,0,0
Mettmenstetten,"MULTIPOLYGON (((8.43521130536246 47.247560043107306, 8.4379193961844 47.24358302829566, 8.440904193103723 47.24473353608401, 8.442596182846746 47.240973485543876, 8.445444894800142 47.24260171282913, 8.448475053374775 47.237764802923074, 8.448928669927863 47.23906857905001, 8.45248502370408 47.23957615601547, 8.45555600776849 47.23530454751407, 8.457833162864995 47.23567278962626, 8.458568021681 47.2340366003494, 8.464787104623847 47.23497014386624, 8.46689642159571 47.23354096637137, 8.467354574314328 47.23033029325266, 8.472376109557022 47.22606067524917, 8.484868709429085 47.22115011692068, 8.485444802451507 47.21842313479257, 8.489223428338736 47.21892474026431, 8.488851462765204 47.22072215987138, 8.490225920921063 47.221319309242496, 8.488597437495475 47.22334762660639, 8.491414396290155 47.228214393981, 8.482859188098901 47.23548568282331, 8.48387528917782 47.23760755358868, 8.48529510898899 47.23931739128798, 8.481616278743438 47.24016733389287, 8.478241371588458 47.24440112293409, 8.474834711274761 47.245312770974, 8.478436426706287 47.246554841665926, 8.474911826088787 47.248362213762505, 8.47794652082895 47.24988096366305, 8.472439615874453 47.252607945791155, 8.477002998398525 47.25440138440241, 8.484669118145726 47.25409683822314, 8.487340919643419 47.250975737510096, 8.491827187353467 47.25060550490001, 8.49317442851614 47.2510852148948, 8.49184533201559 47.253051826823686, 8.500096617116274 47.25800219511025, 8.499375366796864 47.259721985299066, 8.500677246304228 47.261274573663975, 8.49486641825916 47.25974189027811, 8.487073285877097 47.26068936728028, 8.484056735799056 47.257219929434086, 8.47436295005955 47.260522165456365, 8.472412398881268 47.26338450144192, 8.46843871787621 47.26464448661498, 8.467912522674627 47.26330090052996, 8.461480239951829 47.26379454401009, 8.453632673583394 47.26830501225993, 8.44773565839324 47.267807387783996, 8.448225564270576 47.263786582018476, 8.446089030305528 47.263376539450306, 8.446243259933578 47.26602390166226, 8.44446508304547 47.26622096095473, 8.440872439945007 47.265649688056364, 8.441725239064814 47.26296251588633, 8.434440157222209 47.26248479638944, 8.435302028673078 47.261115333831675, 8.43224011693973 47.25970805181374, 8.433673545247489 47.25736523578106, 8.432085887311679 47.25369674814449, 8.437225362858173 47.24927983329612, 8.43521130536246 47.247560043107306)))",399.0790484,14.76923077,23.09615385,59.21153846,17.69230769,2097.0,13.03,64.26931905,18.59219587,1.147666412,148.0,545.0,987.0,18.21530905,1.61,15.3702704,31.22965435,86996.409765438,2960.000000039467,9.0,0,Mettmenstetten,1,1,1,1,1
Obfelden,"MULTIPOLYGON (((8.410085484486874 47.24837415674993, 8.414009267671092 47.243670610203424, 8.414276901437415 47.246421478306374, 8.416490550216487 47.24714601954333, 8.42013762730332 47.24605721718999, 8.427826427878175 47.247229620455286, 8.428756341812008 47.246142808599856, 8.43521130536246 47.247560043107306, 8.437225362858173 47.24927983329612, 8.432085887311679 47.25369674814449, 8.433673545247489 47.25736523578106, 8.43224011693973 47.25970805181374, 8.435302028673078 47.261115333831675, 8.434440157222209 47.26248479638944, 8.441725239064814 47.26296251588633, 8.440872439945007 47.265649688056364, 8.44446508304547 47.26622096095473, 8.436005134330365 47.27465669107072, 8.43863157417275 47.27696765913694, 8.435850904702315 47.27994146300511, 8.432503214540521 47.280427144493615, 8.432063206484024 47.27852223799975, 8.429504809124603 47.28034752457747, 8.426138974300684 47.27914526384362, 8.428547678197587 47.276030134624285, 8.427767457726274 47.27308618822468, 8.42288654361504 47.274159066594784, 8.421884051032713 47.27574748392196, 8.416104976146363 47.271037965881746, 8.401444089150534 47.26815970591296, 8.400623043189443 47.264712163543706, 8.404506000883883 47.26020567628967, 8.402863908961702 47.254676073113124, 8.410085484486874 47.24837415674993)))",758.7533156,21.46477888,23.57979374,59.63992309,16.78028317,2341.0,7.54,49.07407407,21.42857143,5.158730159,51.0,310.0,891.0,7.281553398,2.57,14.64240856,33.71522095,75105.748218527,3125.0,7.0,0,Obfelden,1,0,1,1,1
