GMDNR,GMDNAME,KTNAME,BZNR,KTNR,AREA_HA,E_MIN,E_MAX,N_MIN,N_MAX,E_CNTR,N_CNTR,Z_MIN,Z_MAX,Z_AVG,Z_MED,Z_CNTR,LAT_CNTR,LONG_CNTR,HEIGHT_CNTR
1,Aeugst am Albis,Zürich,101,1,791,2678111,2681155,1234561,1238544,2679300,1235700,533,887,685,673,700,47.2674419019666,8.4865271589923,747.459219182841
2,Affoltern am Albis,Zürich,101,1,1059,2673826,2678584,1235208,1239338,2676800,1236800,440,749,529,502,490,47.2776305225233,8.45368292395686,537.461550521664
3,Bonstetten,Zürich,101,1,743,2675745,2679642,1238997,1243159,2677800,1241000,502,715,581,583,544,47.315286937152,8.4676261303297,591.457068826072
4,Hausen am Albis,Zürich,101,1,1360,2680394,2686463,1230185,1236411,2682900,1233100,524,915,673,653,610,47.2436161076331,8.53361347397169,657.444174392149
5,Hedingen,Zürich,101,1,653,2674866,2678972,1238053,1241034,2676400,1239000,475,745,560,543,503,47.2974631651185,8.44877101137667,550.466776419431
6,Kappel am Albis,Zürich,101,1,792,2679059,2683715,1229407,1232607,2682400,1231300,463,621,557,559,573,47.2274899198429,8.52668042898412,620.460262737237
7,Knonau,Zürich,101,1,647,2675593,2679582,1229137,1233130,2677500,1230900,412,504,454,454,431,47.224485234464,8.46191694160004,478.477001929656
8,Maschwanden,Zürich,101,1,469,2673845,2676420,1230677,1233439,2674800,1232000,386,476,414,410,400,47.2346896680063,8.42645349859941,447.489720611833
9,Mettmenstetten,Zürich,101,1,1303,2675200,2680380,1230244,1235763,2677600,1233000,432,658,506,493,471,47.2433605881519,8.4635992967836,518.464513466693
10,Obfelden,Zürich,101,1,754,2672793,2676119,1232987,1237091,2675100,1235300,383,520,440,439,453,47.2643353831691,8.43096598199181,500.471452058293
11,Ottenbach,Zürich,101,1,502,2671863,2674902,1235683,1238538,2673000,1237200,380,532,439,435,412,47.2816591616505,8.40352896923856,459.488965412602
12,Rifferswil,Zürich,101,1,651,2678256,2682151,1231472,1235066,2680100,1232800,519,676,592,591,582,47.2412634404012,8.49658076635996,629.458580702543
13,Stallikon,Zürich,101,1,1202,2677851,2681027,1237736,1245396,2679500,1242100,501,887,659,641,552,47.3249772143156,8.49030300551269,599.43234827742
14,Wettswil am Albis,Zürich,101,1,377,2676820,2679168,1241892,1244867,2678200,1243700,515,642,558,549,565,47.3395223695819,8.47338685359927,612.448155117221
21,Adlikon,Zürich,102,1,658,2693062,2697489,1269787,1273490,2694300,1271000,357,491,424,433,447,47.5829213741908,8.69216358170298,494.42811436113
22,Benken (ZH),Zürich,102,1,566,2689771,2692659,1277337,1280328,2691300,1278800,396,567,456,440,424,47.6534864689028,8.65389649676274,471.730502511375
23,Berg am Irchel,Zürich,102,1,701,2684957,2688693,1266887,1269915,2687200,1269400,344,678,486,458,411,47.5695148120831,8.59748258073415,458.58629150223
24,Buch am Irchel,Zürich,102,1,1021,2687198,2691430,1264720,1269122,2689100,1267000,405,695,547,552,534,47.5476772960329,8.62224811965262,581.502778873779
25,Dachsen,Zürich,102,1,270,2687878,2690259,1278013,1280946,2688600,1280000,359,450,403,406,393,47.66464779521,8.61820294419632,440.852538869716
26,Dorf,Zürich,102,1,556,2689709,2692487,1268131,1271482,2691000,1269800,409,546,471,472,425,47.5725961288321,8.64805748460055,472.495453055948
27,Feuerthalen,Zürich,102,1,248,2689611,2692439,1281501,1283343,2690400,1283000,390,560,443,435,413,47.6913786865281,8.64277656914895,460.895203578286
28,Flaach,Zürich,102,1,1017,2685277,2690570,1269239,1272659,2688000,1270100,342,454,358,350,361,47.5757029175798,8.60825141098456,408.575638246723
29,Flurlingen,Zürich,102,1,242,2688994,2691731,1281161,1283094,2689400,1282000,382,575,482,473,394,47.6825237037962,8.62925619430886,441.897027020343
30,Andelfingen,Zürich,102,1,674,2690363,2695950,1270878,1273704,2693300,1272200,347,477,392,399,402,47.5938552584304,8.67912485528467,449.477822963148
31,Henggart,Zürich,102,1,303,2692477,2694984,1267294,1269669,2693600,1268700,427,527,447,441,447,47.5623387676863,8.68237535170432,494.405331433751
32,Humlikon,Zürich,102,1,368,2691698,2695118,1268730,1271438,2692700,1270300,407,539,446,435,434,47.576854542102,8.67075199770443,481.458716195077
33,Kleinandelfingen,Zürich,102,1,1029,2688777,2695170,1271563,1276229,2693600,1272800,347,436,392,398,365,47.5992079937951,8.68323947041509,412.482545885257
34,Laufen-Uhwiesen,Zürich,102,1,628,2687687,2693168,1279482,1281628,2689800,1280600,359,580,488,485,446,47.6698798472619,8.6342985025711,493.837603732012
35,Marthalen,Zürich,102,1,1413,2686816,2692432,1272196,1277787,2690900,1275700,343,442,389,398,392,47.6256657340662,8.64793709293375,439.640368468128
37,Ossingen,Zürich,102,1,1309,2693806,2698932,1271609,1276780,2696800,1274200,357,486,420,421,417,47.6113329704236,8.72608844943735,464.433694701642
38,Rheinau,Zürich,102,1,895,2686918,2690379,1273062,1278638,2687700,1277700,346,444,379,383,361,47.6440863618368,8.60576705174451,408.801383737475
39,Thalheim an der Thur,Zürich,102,1,644,2696219,2700093,1269325,1272602,2699000,1270600,364,503,402,391,389,47.5786322836822,8.75454063645717,436.299317888916
40,Trüllikon,Zürich,102,1,956,2691534,2696192,1275680,1280284,2694300,1277100,401,567,463,467,434,47.6377748942745,8.6934603158779,481.586618007161
41,Truttikon,Zürich,102,1,441,2695647,2698372,1275348,1277745,2696800,1276200,430,499,465,466,465,47.629317549469,8.72652506202206,512.488597788848
43,Volken,Zürich,102,1,320,2688367,2691123,1268960,1271442,2689300,1270000,354,489,424,419,406,47.5746281043342,8.62550731608895,453.540922970511
51,Bachenbülach,Zürich,103,1,431,2681656,2685124,1260178,1263299,2683600,1262000,415,573,462,439,430,47.5034358310968,8.54825566293662,477.537730499171
52,Bassersdorf,Zürich,103,1,903,2687835,2692262,1252878,1257235,2689800,1255500,442,556,477,472,462,47.4441640217598,8.62922778360442,509.29854189232
53,Bülach,Zürich,103,1,1609,2681097,2685622,1261483,1268439,2683000,1263700,382,597,448,432,420,47.5187999076486,8.54060969880395,467.58124031499
54,Dietlikon,Zürich,103,1,425,2687322,2689845,1251259,1254919,2689000,1253400,429,492,455,453,442,47.4253872613253,8.61820415087556,489.280653176829
