Gemeindename;Long;Lat;Gemeindecode;Bevšlkerung Einwohner 2019;Bevšlkerung VerŠnderung in % 2010-2019;Bevšlkerung Bevšlkerungs-dichte pro km_ 2019;Bevšlkerung AuslŠnder in % 2019;Altersverteilung in % 0-19 Jahre 2019;Altersverteilung in % 20-64 Jahre 2019;Altersverteilung in % 65 Jahre und mehr 2019;Bevšlkerungsbewegung (in ä) Rohe Heiratssziffer 2019;Bevšlkerungsbewegung (in ä) Rohe Scheidungsziffer 2019;Bevšlkerungsbewegung (in ä) Rohe Geburtenziffer 2019;Bevšlkerungsbewegung (in ä) Rohe Sterbeziffer 2019;Haushalte Anzahl Privathaushalte 2019;Haushalte Durchschnittliche Haushaltsgršsse in Personen 2019;FlŠche GesamtflŠche in km_ 1) 2016;FlŠche SiedlungsflŠche in % 2004/09;FlŠche VerŠnderung in ha 1979/85-2004/09;FlŠche Landwirtschafts-flŠche in % 2004/09;FlŠche VerŠnderung in ha 1979/85-2004/09;FlŠche Wald und Gehšlze in % 2004/09;FlŠche Unproduktive FlŠche in % 2004/09;Wirtschaft BeschŠftigte total 2018;Wirtschaft im 1. Sektor 2018;Wirtschaft im 2. Sektor 2018;Wirtschaft im 3. Sektor 2018;Wirtschaft ArbeitsstŠtten total 2018;Wirtschaft im 1. Sektor 2018;Wirtschaft im 2. Sektor 2018;Wirtschaft im 3. Sektor 2018;Bau- und Wohnungswesen Leerwohnungs-ziffer 2020;Bau- und Wohnungswesen Neu gebaute Wohnungen pro 1000 Einwohner 2018;Soziale Sicherheit Sozialhilfequote 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) FDP 2) 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) CVP 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) SP 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) SVP 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) EVP/CSP 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) GLP 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) BDP 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) PdA/Sol. 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) GPS 2019;WŠhleranteile ausgewŠhlter Parteien in % (Nationalratswahlen) Kleine Rechtsparteien 2019
Aeugst am Albis;;;1;1981;8,60745614;250,4424779;14,18475517;19,78798587;62,19081272;18,02120141;7,065354529;2,018672723;9,084027252;6,560686349;848;2,324292453;7,91;12,65822785;21;51,13924051;-22;30,88607595;5,316455696;442;39;25;378;141;15;16;110;5,291576674;13,91035549;1,01;16,42104488;2,49797362;11,56510206;30,3809594;3,227470341;14,31729423;1,263724118;0,162110382;15,05047528;3,820646968
Affoltern am Albis;;;2;12303;10,92777928;1161,756374;28,700317;20,16581322;61,66788588;18,1663009;5,543779553;1,793575738;12,88113484;9,212457199;5412;2,225979305;10,59;30,67426401;92;40,17094017;-93;28,20512821;0,949667616;6920;47;1307;5566;995;23;134;838;1,00554785;3,787255063;3,02;13,38543747;4,535341434;14,64525453;30,30691996;6,618555917;12,66662863;2,001445224;0,198718314;12,59056421;1,555517523
Bonstetten;;;3;5572;8,005427408;749,9327052;16,5649677;23,63603733;59,83488873;16,52907394;4,316546763;1,798561151;9,892086331;4,316546763;2327;2,384185647;7,43;15,45698925;24;55,51075269;-21;28,62903226;0,403225807;1014;34;111;869;281;14;26;241;1,171717172;0,181422351;1,51;15,35498391;3,867961277;16,74289094;26,11631296;4,194018438;16,23793516;1,284030413;0,176013158;12,36853116;1,385021569
Hausen am Albis;;;4;3751;11,63690476;275,8088235;16,02239403;22,1807518;59,82404692;17,99520128;3,220611916;1,610305958;8,588298443;3,757380569;1552;2,400773196;13,6;12,69258988;33;55,90608951;-31;28,83345561;2,567865004;1021;93;136;792;271;36;38;197;0,630011455;3,002183406;1,19;11,13516267;3,934551474;13,71150867;33,18477961;4,059761041;12,41696908;1,610746801;0,19311984;16,74412682;1,610746801
Hedingen;;;5;3778;10,79178886;578,56049;16,41079936;21,62519852;61,64637374;16,72842774;3,727369542;2,129925453;7,454739084;6,389776358;1580;2,378481013;6,53;19,81707317;44;46,34146341;-43;33,23170732;0,609756098;1478;29;679;770;201;11;26;164;0,962695548;3,248511099;1,47;13,99089784;3,873660368;16,73832344;26,60179107;3,726851366;16,41534364;1,881252491;0,182462616;12,3487343;2,170675951
Kappel am Albis;;;6;1221;33,00653595;154,1666667;17,52661753;24,97952498;61,17936118;13,84111384;3,364171573;0;10,09251472;5,046257359;493;2,46653144;7,92;8,31202046;12;69,9488491;-12;20,58823529;1,150895141;319;56;81;182;101;21;24;56;2,177858439;37,33333333;0,69;10,86288961;5,49669891;9,074159374;43,63580531;4,514048825;10,87056656;1,266697375;0,046061723;10,17964072;1,627514202
Knonau;;;7;2378;32,11111111;367,5425039;18,29268293;24,34819176;60,97560976;14,67619849;3,367712061;0,841928015;12,62892023;8,419280152;927;2,558791802;6,47;18,02773498;19;62,24961479;-21;17,10323575;2,619414484;566;55;108;403;133;24;15;94;0,588235294;5,639913232;0,84;9,204795288;5,342846476;11,43236404;32,26863567;6,906707595;17,32276932;2,667275065;0,095407973;11,34940059;2,20267972
Maschwanden;;;8;645;4,707792208;137,5266525;12,86821705;22,01550388;59,53488372;18,4496124;3,074558032;0;6,149116065;7,686395081;274;2,354014599;4,69;8,974358974;-5;59,61538462;0;23,71794872;7,692307692;175;49;49;77;67;18;7;42;2,990033223;0;X;3,339191564;2,555089901;16,93929972;44,51804786;3,406786535;12,28876572;2,933621739;0,067594971;10,01757469;2,987697715
Mettmenstetten;;;9;5200;22,55479613;399,0790484;14,76923077;23,09615385;59,21153846;17,69230769;5,051486303;2,331455217;13,79444337;4,662910433;2097;2,449213162;13,03;15,99081867;65;64,26931905;-70;18,59219587;1,147666412;1680;148;545;987;319;51;58;210;1,325088339;18,21530905;1,61;11,82378826;3,562840457;15,3702704;31,22965435;4,657211562;14,64886882;1,357739936;0,387692006;11,82542409;3,929266657
Obfelden;;;10;5721;22,08706786;758,7533156;21,46477888;23,57979374;59,63992309;16,78028317;4,946996466;1,943462898;12,19081272;6,007067138;2341;2,42460487;7,54;24,33862434;46;49,07407407;-44;21,42857143;5,158730159;1252;51;310;891;307;17;60;230;2,145411204;7,281553398;2,57;11,51181822;6,392494196;14,64240856;33,71522095;5,32485822;14,5605755;1,84219541;0,085639249;8,548700187;2,173333841
