Gemeinde,lat,long,name
 Leuggern,47.5806389,8.2152987,Denner Satellit
 Ayent,46.2762624,7.4049402,Denner Satellit
 Spreitenbach,47.42323,8.3699,Denner Filiale
 Kriens,47.0339493,8.2828585,Denner Filiale
 Paspels,46.7498,9.442406,Denner Partner
 Adliswil,47.3123016,8.5242958,Denner Filiale
 Zernez,46.6996918,10.0923557,Denner Partner
 Therwil,47.4997723,7.5564983,Denner Filiale
 Zofingen,47.2858887,7.9552288,Denner Filiale
 Zug,47.1712189,8.5165787,Denner Express
 Birmensdorf ZH,47.3596857,8.4540512,Denner Filiale
 Zug,47.1732483,8.5170155,Denner Filiale
 Herzogenbuchsee,47.1866177,7.7039734,Denner Filiale
 Brugg AG,47.4811821,8.2087812,Denner Filiale
 Urdorf,47.384832,8.421921,Denner Filiale
 Wil SG,47.4624214,9.0414476,Denner Express
 Spreitenbach,47.4223328,8.3678713,Denner Filiale
 Rüti ZH,47.2598648,8.8530998,Denner Filiale
 Biasca,46.3532143,8.9717321,Denner Filiale
 Aarberg,47.0509224,7.2840462,Denner Satellit
 Yverdon-les-Bains,46.7793121,6.64117,Denner Filiale
 Altdorf UR,46.87329,8.65088,Denner Filiale
 Genève,46.204628,6.1231875,Denner Filiale
 Versoix,46.2802,6.16684,Denner Filiale
 Männedorf,47.2531548,8.6960373,Denner Filiale
 Onex,46.1921,6.10321,Denner Filiale
 Estavayer-le-Lac,46.8499184,6.8495197,Denner Satellit
 Balsthal,47.308147,7.688735,Denner Satellit
 Winterthur,47.5183144,8.7198648,Denner Filiale
 Fully,46.1366961,7.1192905,Denner Filiale
 Suhr,47.3744736,8.0777798,Denner Filiale
 Effretikon,47.4239082,8.6911373,Denner Filiale
 Biberist,47.1843987,7.5626001,Denner Filiale
 Domdidier,46.8664131,7.012682,Denner Partner
 La Chaux-de-Fds 1,47.1046562,6.8435235,Denner Satellit
 Niederuzwil,47.4460182,9.1417122,Denner Filiale
 Sirnach,47.4616318,8.9985247,Denner Satellit
 Martigny,46.1032677,7.0761118,Denner Express
 St. Margrethen SG,47.45288,9.63237,Denner Filiale
 Oftringen,47.3124771,7.9215851,Denner Filiale
 Lachen SZ,47.1918831,8.8558283,Denner Filiale
 Zürich,47.392086,8.4849253,Denner Filiale
 Abtwil SG,47.4173203,9.3159676,Denner Filiale
 Kloten,47.4510002,8.5820389,Denner Express
 Stäfa,47.2402115,8.7245293,Denner Express
 Delémont,47.3638687,7.345583,Denner Express
 Ependes FR,46.7540932,7.1460767,Denner Partner
 Zürich,47.4209557,8.5490551,Denner Filiale
 Bözberg,47.49788,8.15731,Denner Express
 Lausanne,46.5361824,6.6203022,Denner Filiale
 Thun,46.7445145,7.6138415,Denner Filiale
 Fribourg,46.79483,7.14245,Denner Satellit
 Murten,46.93006,7.12268,Denner Filiale
 Regensdorf,47.4315605,8.4676113,Denner Filiale
 Maggia,46.246089,8.70611,Denner Satellit
 Lausanne,46.5180969,6.608561,Denner Filiale
 Wald ZH,47.2732162,8.9126415,Denner Partner
 Schmerikon,47.225441,8.9441805,Denner Express
 Bellinzona,46.2015038,9.0338707,Denner Filiale
 Winterthur,47.4947443,8.7402405,Denner Filiale
 Pfäffikon ZH,47.3662898,8.7818144,Denner Filiale
 Wiedlisbach,47.252552,7.6494241,Denner Satellit
 Steinen,47.04884,8.6129487,Denner Partner
 Genève,46.2025146,6.1641836,Denner Express
 Aigle,46.3171883,6.9370742,Denner Filiale
 Courtelary,47.17601,7.06709,Denner Satellit
 Willisau,47.12341,7.994871,Denner Express
 Riddes,46.17241,7.22216,Denner Satellit
 Ecublens VD,46.53485,6.56379,Denner Filiale
 Basel,47.53943,7.60401,Denner Express
 Magliaso,45.9851189,8.8901825,Denner Filiale
 Winterthur,47.4855537,8.7622299,Denner Filiale
 Peseux,46.9862328,6.8894329,Denner Filiale
 Dottikon,47.38221,8.239703,Denner Partner
 Morbio Inferiore,45.8461266,9.0159721,Denner Filiale
 Thônex,46.1933937,6.2013578,Denner Filiale
 St. Gallen,47.4310149,9.3956043,Denner Filiale
 Muttenz,47.525631,7.6472101,Denner Filiale
 Genève,46.21772,6.1412435,Denner Filiale
 Münsingen,46.872776,7.5627074,Denner Filiale
 Altstätten SG,47.377182,9.5376997,Denner Filiale
 Lodrino,46.3012085,8.9803867,Denner Satellit
 Sion,46.2304497,7.3602057,Denner Express
 Brig,46.3184204,7.9852633,Denner Filiale
 Oron-la-Ville,46.5711,6.82312,Denner Partner
