name,Long ,Lat,Ladentyp
Aachtal,9.2732473,47.5482982,m
Aadorf,8.8994059,47.4900907,m
Aarau,8.0515956,47.3919981,mta
Aarau - Igelweid,8.0460946,47.3917082,mm
Aarau Bahnhof,8.0528306,47.3919221,m
Abtwil - Säntispark,9.316473,47.4174113,mm
Adligenswil,8.3619211,47.0715393,dmp
Adliswil,8.5252672,47.3112824,mm
Aesch,7.5960676,47.4694175,mm
Affoltern a. A.,8.453809,47.2780275,mm
Affoltern am Albis,8.4457167,47.2750156,soca
Agno,8.9056394,45.9983117,mgls
Aigle - Chablais Centre,6.9381022,46.31611,mmm
Aigle gare,6.964881,46.3159644,m
Allschwil - Binningerstr.,7.5463149,47.5485219,mgls
Allschwil - Paradies,7.5536404,47.547382,mmm
Allschwil - Stockbrunnenrain,7.5536691,47.5462124,shell
Allschwil - Ziegelei,7.5499775,47.5530962,m
Allschwil-Lindenplatz,7.5603772,47.5578704,dmp
Alnatura Bio Super Markt - Glattzentrum,8.5952402,47.4082791,alna
Alnatura Bio Super Markt Baden,8.3083072,47.4774968,alna
Alnatura Bio Super Markt Basel Kirschgarten,7.59271,47.551838,alna
Alnatura Bio Super Markt Bern,7.443384,46.9475701,alna
Alnatura Bio Super Markt Bülach,8.5399111,47.5209742,alna
Alnatura Bio Super Markt Limmatplatz,8.53111,47.38453,alna
Alnatura Bio Super Markt Luzern,8.3083917,47.0544369,alna
Alnatura Bio Super Markt Metalli Zug,8.517689,47.1725892,alna
Alnatura Bio Super Markt Niederdorf,8.5440268,47.3744048,alna
Alnatura Bio Super Markt Oerlikon,8.543878,47.4087478,alna
Alnatura Bio Super Markt Solothurn,7.536333,47.20708,alna
Alnatura Bio Super Markt St. Gallen,9.370891,47.422413,alna
Alnatura Bio Super Markt Uster,8.7155557,47.3498692,alna
Alnatura Bio Super Markt Winterthur-Grüze,8.7533556,47.4967661,alna
Alnatura Bio Super Markt Zürich HB - Sihlquai,8.535889,47.3786818,alna
Alnatura Bio Super Markt Zürich-City,8.5361463,47.3752669,alna
Alnatura Bio Super Markt Zürich-Höngg,8.4982339,47.4032754,alna
Alpnach Outlet,8.2762082,46.9341853,spez
Altdorf,8.6416105,46.8796664,m
Altdorf,8.626639,46.8962178,mgls
Altstätten SG,9.5377008,47.3771836,mm
Amriswil,9.297961,47.54671,mm
Amriswil,9.2727591,47.5448552,mgls
Amriswil - Amriville,9.298285,47.54741,fm
Andelfingen,8.6887258,47.601998,m
Appenzell,9.4071483,47.3348204,mm
Arbedo Castione,9.0440908,46.2250903,m
Arbon,9.432242,47.5119795,mm
Arlesheim,7.6185546,47.494261,mm
Ascona,8.773702,46.1540856,m
Ascona,8.7718592,46.1550202,pica
Au SG,9.6377624,47.431293,m
Avenches,7.0451655,46.8854592,m
Avry Centre,7.0781119,46.7876479,mmm
Baar,8.5250447,47.195539,m
Bad Ragaz,9.5014435,47.0035166,dmp
Bad Zurzach,8.2959683,47.5857967,mm
Baden,8.278909,47.4825931,shell
Baden - Bhf. Take Away,8.3078837,47.4767306,mr
Baden - City,8.3086998,47.4771453,mm
Baden-Dättwil,8.2830446,47.4564069,shell
Baden-Dättwil,8.2908713,47.4499939,soca
Balerna-Bisio 1,9.0159183,45.8411348,pica
Balerna-Bisio 2,9.0159686,45.8415389,pica
Balerna-Roncaglia,9.0116168,45.8361298,pica
Balsthal,7.6955408,47.3168586,m
Basel - Allschwiler,7.5734192,47.5559314,m
Basel - Bahnhof SBB,7.5886351,47.5479172,m
Basel - Birsigstrasse,7.5783333,47.5501347,dmp
Basel - Burgfelder,7.5724253,47.5622371,mm
Basel - Claramarkt,7.5920619,47.5615832,mmm
Basel - Drachen-Center,7.5928077,47.5528056,mm
Basel - Dreispitz MParc,7.6038713,47.5393434,fm
Basel - Efringer,7.5965886,47.5691589,mm
Basel - Eglisee,7.6152494,47.5701213,m
Basel - Flughafenstrasse,7.5695768,47.5694998,shell
Basel - Gundelitor,7.5922222,47.5435146,mm
Basel - Hardstrasse,7.607221,47.549313,m
Basel - Inselstrasse,7.5906325,47.577495,dmp
Basel - Juniors Market,7.6016293,47.55872,m
Basel - Lachenstrasse,7.5697693,47.568176,dmp
Basel - Lehenmatt,7.620699,47.5471518,dmp
Basel - Märtplatz,7.5877372,47.5592591,m
Basel - Mülhauser,7.5796836,47.5685421,m
Basel - Neuweiler,7.5642044,47.5469569,m
Basel - Schützenmatt,7.5812888,47.5560094,m
Basel - Stücki,7.5957171,47.579952,m
Basel - Wanderstrasse,7.564058,47.5524703,dmp
Basel - Wasgenring,7.5647563,47.5612305,dmp
Basel - Zürcherstrasse,7.6150933,47.55512,dmp
Basel Hochbergerstrasse,7.5943537,47.58099,mgls
Basel Weil,7.60347,47.593856,mgls
Bassersdorf,8.6298002,47.4422909,mm
Bauma,8.8775133,47.3681049,m
Bavois,6.5686895,46.6746657,dmp
Bavois-Alpes,6.570611,46.6739849,shell
Bavois-Jura,6.5693753,46.6736156,shell
Bazenheid,9.0682158,47.4126848,m
Belfaux,7.1131443,46.8259234,m
Bellinzona,9.0289299,46.1991221,soca
Bellinzona - Piazza del Sole,9.0243305,46.1937973,mm
Bellinzona Outlet,9.013277,46.1861062,spez
Bellinzona-Nord,9.0382178,46.2065522,pica
Belp,7.4926529,46.8964728,mm
Berikon - Mutschellen,8.3664932,47.3631663,m
Beringen,8.5838803,47.6963713,m
Bern - Bachmätteli,7.3900576,46.9392241,mm
Bern - Bahnhof,7.4401642,46.949378,mm
Bern - Bahnhof Take Away,7.4395076,46.9488819,mr
Bern - Bethlehem,7.3832855,46.9475326,mm
Bern - Breitenrain,7.4532328,46.9580156,m
Bern - Bubenberg,7.4379673,46.9474381,mm
Bern - Bümpliz,7.3965641,46.9488786,soca
Bern - Christoffel,7.4401581,46.9475739,m
Bern - Egghölzli,7.475067,46.9368899,m
Bern - Egghölzli,7.4751852,46.9368988,mgls
Bern - Eigerplatz,7.4320705,46.9399808,m
Bern - Fellerstrasse,7.384876,46.9464,mgls
Bern - Freudenberg,7.4727611,46.9454091,mm
Bern - Kirchenfeld,7.4531633,46.9421839,m
Bern - Lorraine,7.4465984,46.9559292,m
Bern - Marktgasse,7.4448371,46.9482654,mmm
Bern - Marktgasse Fachmarkt,7.445796,46.9481395,fm
Bern - Murifeld,7.4811263,46.9395518,m
Bern - Stöckacker,7.3992866,46.944202,m
Bern - Wankdorf,7.4659375,46.9658677,mgls
Bern - Wankdorf MParc,7.4589773,46.9654266,fm
Bern - Welle 7,7.4369117,46.9480604,m
Bern - Westside,7.3743954,46.9455311,mm
Bern - Westside,7.3706941,46.9433611,mgls
Bern - Winkelried,7.4635232,46.9657983,mm
Bern - Zähringer,7.433226,46.955387,mm
Bern Länggasse,7.4300874,46.9549213,mig
Bern Westflügel,7.3953525,46.9467745,m
Bex,7.015988,46.2504679,m
Biasca,8.9721457,46.3535809,m
Biasca,8.969252,46.3587333,pica
Biberist,7.5617677,47.1831041,m
Biberist,7.5532515,47.1898607,soca
Biel - Bielerhof,7.2443054,47.1350714,mm
Biel - Bözingen,7.2671886,47.1518033,m
Biel - Madretsch,7.2523976,47.1320095,mm
Biel - Neumarkt,7.2475398,47.140721,mm
Biel Stadion,7.2822405,47.1559201,m
Bike World Affoltern a.A,8.4463515,47.2727413,spez
Bike World Baden,8.3050272,47.478212,spez
Bike World Ebikon,8.346932,47.08554,spez
Bike World Gland,6.261512,46.42733,spez
Bike World Hinwil,8.821819,47.305885,spez
Bike World Muri,7.503635,46.9261433,spez
Bike World Pratteln,7.6818349,47.5245479,spez
Bike World Romanel,6.60575,46.570633,spez
Bike World Schlieren,8.435707,47.401318,spez
Bike World Volketswil,8.6777467,47.3799138,spez
Bike World Winterthur,8.7211386,47.4984656,spez
Bike World Zuchwil,7.55402,47.21009,spez
Binningen,7.5719652,47.5377117,mig
Binningen - Gorenmatt,7.5729746,47.5324671,mm
Binningen - Zentrum,7.5742852,47.5412885,m
Bioggio,8.9123616,46.0164899,pica
Birmensdorf,8.4367541,47.3541611,m
Birmensdorf,8.4297103,47.3654476,shell
Birsfelden,7.6242615,47.5554924,mm
Birsfelden,7.6255831,47.5497163,mgls
Bischofszell,9.2441346,47.4925953,m
Bischofszell,9.2414237,47.492215,mig
Bitsch,8.0160849,46.338042,dmp
Bière,6.3321026,46.5380702,dmp
Blonay,6.8952017,46.4644668,m
Bolligen,7.4968721,46.9701472,mig
Bonstetten,8.4722931,47.3254148,dmp
Boswil,8.316425,47.2979933,mgls
Boudry,6.8454068,46.9539937,mgls
Breitenbach - Wydehof,7.542466,47.4083107,mm
Bremgarten,8.3262155,47.3556302,shell
Bremgarten,8.3457318,47.3513448,mig
Bremgarten AG,8.3497522,47.3526495,mm
Bremgarten Fachmarkt,8.3498121,47.3522802,fm
Bremgarten Kalchacker,7.4375202,46.9753771,m
Brienz,8.0282209,46.755197,m
Brig,7.9893511,46.3184112,mm
Brissago,8.7060466,46.1145732,pica
Bronschhofen,9.0325903,47.4807063,m
Brugg,8.2082727,47.4828987,mig
Brugg - Neumarkt,8.209613,47.481945,mmm
Brugg AG,8.2203454,47.4917188,mgls
Brugg SportXX,8.2081207,47.483265,spez
Brunnen - Bahnhofsmärcht,8.608986,46.99991,m
Brusino-Arsizio 1,8.919178,45.914485,pica
Brügg,7.278243,47.1236832,mig
Brügg - Centre Brügg,7.267001,47.119664,mmm
Bubendorf,7.7432173,47.4568583,mm
Buchrain - Tschannhof,8.3488964,47.0954005,m
Buchs AG - Wynecenter,8.0889759,47.3846372,mmm
Buchs Outlet,9.4787211,47.164196,spez
Buchs SG,9.472575,47.163967,mm
Buchs SG - MParc,9.4734086,47.1643081,fm
Bulle,7.0563577,46.6233565,mgls
Bulle - Gruyère-Centre,7.0574539,46.6232086,mmm
Bulle gare,7.0538661,46.6192669,m
Buochs,8.4159724,46.9777789,m
Burgdorf,7.6005253,47.068533,mgls
