Gemeinde,coordinatex,coordinatey,name,streetNumber,zip,region,telephone,fax,openingHours,markettype,uid
Disentis/Mustér,46.702007,8.85108,SPAR Supermarkt Disentis/Mustér,Via Gonda,7180,"{'isoCode': 'GR', 'localName': 'Graubünden', 'nameEn': 'Graubünden', 'uid': 113}",081 947 48 10,081 947 41 08,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 1}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 8767}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 8768}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 8769}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': '', 'group': '', 'uid': 8770}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': '', 'group': '', 'uid': 3}, {'pretext': 'Sonntag', 'date': None, 'text': '08:00 - 17:00 Uhr', 'posttext': '', 'group': '', 'uid': 8682}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",1
Vaz/Obervaz,46.6973,9.528214,SPAR Supermarkt Vaz/Lain,Voa Nova 10,7082,"{'isoCode': 'SH', 'localName': 'Schaffhausen', 'nameEn': 'Schaffhausen', 'uid': 120}",081 384 22 03,,"[{'pretext': 'Montag', 'date': None, 'text': '08:00\xa0- 11:45 Uhr', 'posttext': '15:00\xa0- 18:15 Uhr', 'group': '', 'uid': 14}, {'pretext': 'Dienstag', 'date': None, 'text': '08:00 - 11:45 Uhr', 'posttext': '15:00\xa0- 18:15 Uhr', 'group': '', 'uid': 8771}, {'pretext': 'Mittwoch', 'date': None, 'text': '08:00 - 11:45 Uhr', 'posttext': '15:00\xa0- 18:15 Uhr', 'group': '', 'uid': 8772}, {'pretext': 'Donnerstag', 'date': None, 'text': '08:00 - 11:45 Uhr', 'posttext': '15:00\xa0- 18:15 Uhr', 'group': '', 'uid': 8773}, {'pretext': 'Freitag', 'date': None, 'text': '08:00 - 11:45 Uhr', 'posttext': '15:00\xa0- 18:15 Uhr', 'group': '', 'uid': 8774}, {'pretext': 'Samstag', 'date': None, 'text': '08:00\xa0- 12:00 Uhr', 'posttext': '14:00 - 16:00 Uhr', 'group': '', 'uid': 15}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",167
Luzern,47.042411,8.306149,SPAR Supermarkt Luzern-Neustadt,Bleicherstrasse 12,6003,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",041 360 66 46,041 360 06 32,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 17}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8775}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8776}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7975}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 18}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 19}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",168
Wilen b. Wil,47.451012,9.035122,SPAR Supermarkt Wilen b. Wil,Dorfstrasse 37,9535,"{'isoCode': 'TG', 'localName': 'Thurgau', 'nameEn': 'Thurgau', 'uid': 123}",071 923 29 90,071 923 29 82,"[{'pretext': 'Montag', 'date': None, 'text': '06:30\xa0- 12:00 Uhr', 'posttext': '15:00 - 18:30 Uhr', 'group': '', 'uid': 27}, {'pretext': 'Dientstag', 'date': None, 'text': '06:30\xa0- 12:00 Uhr', 'posttext': '15:00 - 18:30 Uhr', 'group': '', 'uid': 8781}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:30\xa0- 12:00 Uhr', 'posttext': '15:00 - 18:30 Uhr', 'group': '', 'uid': 8782}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:30\xa0- 12:00 Uhr', 'posttext': '15:00 - 18:30 Uhr', 'group': '', 'uid': 8783}, {'pretext': 'Freitag', 'date': None, 'text': '06:30\xa0- 12:00 Uhr', 'posttext': '15:00 - 18:30 Uhr', 'group': '', 'uid': 8784}, {'pretext': 'Samstag', 'date': None, 'text': '06:00 - 14:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 28}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",4
Weesen,47.133494,9.094999,SPAR Supermarkt Weesen,Hauptstrasse 6,8872,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",055 616 16 90,055 616 16 11,"[{'pretext': 'Montag', 'date': None, 'text': '08:00\xa0- 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 33}, {'pretext': 'Dienstag', 'date': None, 'text': '08:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8785}, {'pretext': 'Mittwoch', 'date': None, 'text': '08:00\xa0- 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8786}, {'pretext': 'Donnerstag', 'date': None, 'text': '08:00\xa0- 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8787}, {'pretext': 'Freitag', 'date': None, 'text': '08:00\xa0- 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8788}, {'pretext': 'Samstag', 'date': None, 'text': '08:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 34}, {'pretext': 'Sonntag', 'date': None, 'text': 'geschlossen', 'posttext': '', 'group': '', 'uid': 3693}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",5
Arnegg,47.443506,9.255942,SPAR Supermarkt Arnegg,Bischofszellerstrasse 346,9212,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",071 380 06 90,071 380 06 91,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 53}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8793}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8794}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8795}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8796}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 54}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",8
Sarnen,46.897307,8.247574,SPAR Supermarkt Sarnen,Lindenhof 7,6060,"{'isoCode': 'OW', 'localName': 'Obwalden', 'nameEn': 'Obwalden', 'uid': 118}",041 662 10 66,041 660 15 69,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 61}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8797}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8798}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8799}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8800}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 62}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",9
Freienbach,47.20643,8.754329,SPAR Supermarkt Freienbach,Leutschenstrasse 3 - 5,8807,"{'isoCode': 'SZ', 'localName': 'Schwyz', 'nameEn': 'Schwyz', 'uid': 122}",055 410 44 13,055 410 44 14,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 76}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8801}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8802}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8803}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8804}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 77}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",11
Kloten,47.447722,8.584222,SPAR Supermarkt Kloten Breitistrasse,Breitistrasse 24,8302,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 813 25 23,044 881 25 41,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 89}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8805}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8806}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8807}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8808}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 90}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",13
Wettingen,47.464424,8.328798,SPAR Supermarkt Wettingen,Bahnhofstrasse 92,5430,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",056 426 18 18,056 427 45 27,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 96}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8809}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8810}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8811}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8812}, {'pretext': 'Samstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 97}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",14
