localized_slugs,phone,additional_ids,name,logo,location,,id,type,additional_slugs,slug,cooperative
"{'de': 'aachtal', 'it': 'aachtal', 'fr': 'aachtal'}",058 712 59 30,['0090320_903'],Aachtal,"{'small': '//image.migros.ch/filialen/50x50/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'stack': '//image.migros.ch/filialen/{stack}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'original': '//image.migros.ch/filialen/original/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'large': '//image.migros.ch/filialen/600x400/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'medium': '//image.migros.ch/filialen/200x200/b7ed598472b2aa065658425a494316272885c3ff/m-de.png'}","{'geo': {'lon': 9.2732473, 'lat': 47.5482982}, 'zip': '8580', 'country': 'CH', 'address': 'Schrofenstrasse 19', 'city': 'Amriswil', 'address2': ''}",,90320,m,[],aachtal,"{'name': 'Ostschweiz', 'id': 'gmos', 'url': 'https://www.migros.ch/de/genossenschaften/migros-ostschweiz.html'}"
"{'de': 'aadorf', 'it': 'aadorf', 'fr': 'aadorf'}",058 712 76 60,['0093780_288'],Aadorf,"{'small': '//image.migros.ch/filialen/50x50/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'stack': '//image.migros.ch/filialen/{stack}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'original': '//image.migros.ch/filialen/original/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'large': '//image.migros.ch/filialen/600x400/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'medium': '//image.migros.ch/filialen/200x200/b7ed598472b2aa065658425a494316272885c3ff/m-de.png'}","{'geo': {'lon': 8.8994059, 'lat': 47.4900907}, 'zip': '8355', 'country': 'CH', 'address': 'Bahnhofstrasse 2', 'city': 'Aadorf', 'address2': ''}",,93780,m,[],aadorf,"{'name': 'Ostschweiz', 'id': 'gmos', 'url': 'https://www.migros.ch/de/genossenschaften/migros-ostschweiz.html'}"
"{'de': 'aarau', 'it': 'aarau', 'fr': 'aarau'}",058 563 35 20,[],Aarau,"{'small': '//image.migros.ch/filialen/50x50/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'stack': '//image.migros.ch/filialen/{stack}/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'original': '//image.migros.ch/filialen/original/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'large': '//image.migros.ch/filialen/600x400/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png', 'medium': '//image.migros.ch/filialen/200x200/6de9c3b0fa66e5586d91cbbcd4f6ef351c3bc4e3/mno-de.png'}","{'geo': {'lon': 8.0515956, 'lat': 47.3919981}, 'zip': '5000', 'country': 'CH', 'address': 'Bahnhofplatz 4', 'city': 'Aarau', 'address2': ''}",,4797189,mta,[],aarau,
"{'de': 'aarau-igelweid', 'it': 'aarau-igelweid', 'fr': 'aarau-igelweid'}",058 567 53 00,['0034213_679'],Aarau - Igelweid,"{'small': '//image.migros.ch/filialen/50x50/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'stack': '//image.migros.ch/filialen/{stack}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'original': '//image.migros.ch/filialen/original/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'large': '//image.migros.ch/filialen/600x400/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'medium': '//image.migros.ch/filialen/200x200/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png'}","{'geo': {'lon': 8.0460946, 'lat': 47.3917082}, 'zip': '5000', 'country': 'CH', 'address': 'Igelweid 18', 'city': 'Aarau', 'address2': ''}",,34213,mm,[],aarau-igelweid,"{'name': 'Aare', 'id': 'gmaa', 'url': 'https://www.migros.ch/de/genossenschaften/migros-aare.html'}"
"{'de': 'aarau-bahnhof', 'it': 'aarau-bahnhof', 'fr': 'aarau-bahnhof'}",058 567 14 80,"['0033823_838', '0033823_1148']",Aarau Bahnhof,"{'small': '//image.migros.ch/filialen/50x50/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'stack': '//image.migros.ch/filialen/{stack}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'original': '//image.migros.ch/filialen/original/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'large': '//image.migros.ch/filialen/600x400/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/b7ed598472b2aa065658425a494316272885c3ff/m-de.png', 'medium': '//image.migros.ch/filialen/200x200/b7ed598472b2aa065658425a494316272885c3ff/m-de.png'}","{'geo': {'lon': 8.0528306, 'lat': 47.3919221}, 'zip': '5000', 'country': 'CH', 'address': 'Bahnhofplatz 3h', 'city': 'Aarau', 'address2': ''}",,33823,m,[],aarau-bahnhof,"{'name': 'Aare', 'id': 'gmaa', 'url': 'https://www.migros.ch/de/genossenschaften/migros-aare.html'}"
"{'de': 'abtwil-saentispark', 'it': 'abtwil-saentispark', 'fr': 'abtwil-saentispark'}",058 712 54 00,['0090491_313'],Abtwil - Säntispark,"{'small': '//image.migros.ch/filialen/50x50/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'stack': '//image.migros.ch/filialen/{stack}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'original': '//image.migros.ch/filialen/original/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'large': '//image.migros.ch/filialen/600x400/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'medium': '//image.migros.ch/filialen/200x200/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png'}","{'geo': {'lon': 9.316473, 'lat': 47.4174113}, 'zip': '9030', 'country': 'CH', 'address': 'Wiesenbachstrasse 7', 'city': 'Abtwil SG', 'address2': ''}",,90491,mm,[],abtwil-saentispark,"{'name': 'Ostschweiz', 'id': 'gmos', 'url': 'https://www.migros.ch/de/genossenschaften/migros-ostschweiz.html'}"
"{'de': 'adligenswil', 'it': 'adligenswil', 'fr': 'adligenswil'}",041 371 12 50,['0077180_1125'],Adligenswil,"{'small': '//image.migros.ch/filialen/50x50/f8c94562b39e697cbd3f38f85c3acd8b50275c4f/mp-de.png', 'stack': '//image.migros.ch/filialen/{stack}/f8c94562b39e697cbd3f38f85c3acd8b50275c4f/mp-de.png', 'original': '//image.migros.ch/filialen/original/f8c94562b39e697cbd3f38f85c3acd8b50275c4f/mp-de.png', 'large': '//image.migros.ch/filialen/600x400/f8c94562b39e697cbd3f38f85c3acd8b50275c4f/mp-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/f8c94562b39e697cbd3f38f85c3acd8b50275c4f/mp-de.png', 'medium': '//image.migros.ch/filialen/200x200/f8c94562b39e697cbd3f38f85c3acd8b50275c4f/mp-de.png'}","{'geo': {'lon': 8.3619211, 'lat': 47.0715393}, 'zip': '6043', 'country': 'CH', 'address': 'Obgardirain 1', 'city': 'Adligenswil', 'address2': ''}",,77180,dmp,[],adligenswil,"{'name': 'Luzern', 'id': 'gmlu', 'url': 'https://www.migros.ch/de/genossenschaften/migros-luzern.html'}"
"{'de': 'adliswil', 'it': 'adliswil', 'fr': 'adliswil'}",044 711 90 00,['0150062_409'],Adliswil,"{'small': '//image.migros.ch/filialen/50x50/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'stack': '//image.migros.ch/filialen/{stack}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'original': '//image.migros.ch/filialen/original/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'large': '//image.migros.ch/filialen/600x400/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'medium': '//image.migros.ch/filialen/200x200/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png'}","{'geo': {'lon': 8.5252672, 'lat': 47.3112824}, 'zip': '8134', 'country': 'CH', 'address': 'Albisstrasse 10', 'city': 'Adliswil', 'address2': ''}",,150062,mm,[],adliswil,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
"{'de': 'aesch', 'it': 'aesch', 'fr': 'aesch'}",058 575 71 50,['0024600_957'],Aesch,"{'small': '//image.migros.ch/filialen/50x50/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'stack': '//image.migros.ch/filialen/{stack}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'original': '//image.migros.ch/filialen/original/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'large': '//image.migros.ch/filialen/600x400/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'medium': '//image.migros.ch/filialen/200x200/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png'}","{'geo': {'lon': 7.5960676, 'lat': 47.4694175}, 'zip': '4147', 'country': 'CH', 'address': 'Hauptstrasse 95', 'city': 'Aesch', 'address2': ''}",,24600,mm,[],aesch,"{'name': 'Basel', 'id': 'gmbs', 'url': 'https://www.migros.ch/de/genossenschaften/migros-basel.html'}"
"{'de': 'affoltern-a-a', 'it': 'affoltern-a-a', 'fr': 'affoltern-a-a'}",058 563 50 50,['0150079_400'],Affoltern a. A.,"{'small': '//image.migros.ch/filialen/50x50/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'stack': '//image.migros.ch/filialen/{stack}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'original': '//image.migros.ch/filialen/original/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'large': '//image.migros.ch/filialen/600x400/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'custom': '//image.migros.ch/filialen/custom/resize-width-{width}-height-{height}/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png', 'medium': '//image.migros.ch/filialen/200x200/66935cb3566ddd039ecd000be03d6893b39dd6c9/mm-de.png'}","{'geo': {'lon': 8.453809, 'lat': 47.2780275}, 'zip': '8910', 'country': 'CH', 'address': 'Oberdorfstrasse 4', 'city': 'Affoltern am Albis', 'address2': ''}",,150079,mm,[],affoltern-a-a,"{'name': 'Zürich', 'id': 'gmzh', 'url': 'https://www.migros.ch/de/genossenschaften/migros-zuerich.html'}"
