Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Berikon,47.36171088,8.3677232,08:00 - 20:00,Coop Supermarkt Berikon,8965
Nussbaumen bei Baden,47.48860029,8.29190031,08:00 - 19:00,Coop Supermarkt Nussbaumen,5415
Bad Zurzach,47.58904727,8.29220046,08:00 - 19:00,Coop Supermarkt Bad Zurzach,5330
Kleindöttingen,47.57229608,8.24888206,08:00 - 20:00,Coop Supermarkt Kleindöttingen,5314
Sissach,47.46348156,7.81366194,08:00 - 20:00,Coop Supermarkt Sissach,4450
Stein,47.54637879,7.9523182,08:00 - 20:00,Coop Supermarkt Stein Aargau,4332
Basel,47.56911039,7.59062892,07:30 - 20:00,Coop Supermarkt Basel Klybeck,4057
Riehen,47.57080181,7.63290902,07:00 - 20:00,Coop Supermarkt Riehen Rauracher,4125
Aesch,47.46924429,7.59551791,08:00 - 20:00,Coop Supermarkt Aesch,4147
Muttenz,47.53575258,7.62736225,08:00 - 20:00,Coop Supermarkt Muttenz Freidorf,4132
Basel,47.55179221,7.59459158,06:30 - 20:00,Coop Supermarkt Basel Aeschenplatz,4051
Basel,47.5513334,7.58061463,07:30 - 20:00,Coop Supermarkt Basel Bachletten,4051
Birsfelden,47.55287692,7.62180347,08:00 - 20:00,Coop Supermarkt Birsfelden,4127
Gelterkinden,47.46493501,7.85171145,07:30 - 20:00,Coop Supermarkt Gelterkinden,4460
Basel,47.56510572,7.61789879,07:30 - 20:00,Coop Supermarkt Basel Bäumlihof,4058
San Antonino,46.15454112,8.9659427,08:00 - 19:00,Coop Supermercato S. Antonino,6592
Biel,47.15474389,7.27621809,07:00 - 19:00,Coop Supermarkt Biel Bözingen,2504
Bern,46.95927719,7.45500351,07:30 - 20:00,Coop Supermarkt Bern Breitenrain,3014
Münchenbuchsee,47.01983354,7.44468317,07:00 - 19:00,Coop Supermarkt Münchenbuchsee,3053
Plaffeien,46.73985595,7.28992796,07:00 - 19:00,Coop Supermarkt Plaffeien,1716
Couvet,46.92198893,6.62440549,07:30 - 19:00,Coop Supermarché Couvet,2108
Saint-Aubin,46.89598208,6.77594022,07:30 - 19:00,Coop Supermarché Saint-Aubin,2024
Saint-Imier,47.15349083,7.00000112,08:00 - 19:00,Coop Supermarché Saint-Imier,2610
Uetendorf,46.77476003,7.57228989,08:00 - 19:00,Coop Supermarkt Uetendorf,3661
Zweisimmen,46.55588701,7.37352637,08:00 - 19:00,Coop Supermarkt Zweisimmen,3770
Gstaad,46.47655663,7.28337245,08:00 - 19:00,Coop Supermarkt Gstaad,3780
Brienz,46.7546159,8.03698934,08:00 - 19:00,Coop Supermarkt Brienz,3855
Wädenswil,47.23034678,8.6723885,07:00 - 20:00,Coop Supermarkt Wädenswil,8820
Horgen,47.2590348,8.59875191,07:30 - 20:00,Coop Supermarkt Horgen Leue-Huus,8810
Zürich,47.3938019,8.52959845,07:00 - 21:00,Coop Supermarkt Zürich Scheffelstrasse,8037
Bonstetten,47.32418271,8.46848342,08:00 - 20:00,Coop Supermarkt Bonstetten,8906
Küsnacht,47.31796389,8.5815932,07:30 - 21:00,Coop Supermarkt Küsnacht Dorf,8700
Solothurn,47.20470104,7.53842558,07:00 - 18:30,Coop Supermarkt Solothurn Rosengarten,4500
Hägendorf,47.33421939,7.8416628,07:30 - 18:30,Coop Supermarkt Hägendorf,4614
