Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Aadorf,47.4926593,8.89967817,08:00 - 20:00,Coop Supermarkt Aadorf,8355,1.0,Widen,Aadorf,Aadorf
Aarau,47.39803018,8.05821465,08:00 - 20:00,Coop Supermarkt Aarau Telli,5004,2.0,,,Aarau
Aarau,47.39187281,8.05243428,06:00 - 22:00,Coop Supermarkt Aarau Bahnhof,5000,2.0,,,Aarau
Aarau,47.39191428,8.04628889,08:00 - 19:00,Coop City Aarau,5000,2.0,,,Aarau
Aarberg,47.04245889,7.27642753,08:00 - 20:00,Coop Supermarkt Aarberg,3270,3.0,,,Aarberg
Adelboden,46.49333907,7.56070773,08:00 - 18:30,Coop Supermarkt Adelboden,3715,9.0,,,Adelboden
Adligenswil,47.07137408,8.36506125,07:30 - 19:00,Coop Supermarkt Adligenswil,6043,10.0,,,Adligenswil
Adliswil,47.31302929,8.52532768,07:30 - 20:00,Coop Supermarkt Adliswil,8134,12.0,,,Adliswil
Aesch,47.46924429,7.59551791,08:00 - 20:00,Coop Supermarkt Aesch,4147,,,,Aesch (BL)
Affoltern am Albis,47.27416702,8.44639833,08:00 - 20:00,Coop Supermarkt Affoltern am Albis,8910,23.0,,,Affoltern am Albis
Agno,45.99732697,8.90261699,08:00 - 19:00,Coop Supermercato Agno,6982,27.0,,,Agno
Aigle,46.31896721,6.96517355,07:30 - 18:30,Coop Supermarché Aigle,1860,28.0,,,Aigle
Airolo,46.52871585,8.61077216,08:00 - 19:00,Coop Supermercato Airolo,6780,30.0,,,Airolo
Allaman,46.47714006,6.40270439,08:30 - 19:30,Coop Supermarché Allaman Littoral Centre,1165,35.0,,,Allaman
Alle,47.4258026,7.12407294,07:30 - 18:30,Coop Supermarché Coop Alle,2942,36.0,,,Alle
Allschwil,47.55142254,7.5381832,07:30 - 19:00,Coop Supermarkt Allschwil Dorf,4123,38.0,,,Allschwil
Allschwil,47.55852502,7.55986687,07:30 - 19:00,Coop Supermarkt Allschwil Lindenplatz,4123,38.0,,,Binningen
Allschwil,47.54767337,7.54679745,07:30 - 20:00,Coop Supermarkt Allschwil Letten Center,4123,38.0,,,Allschwil
Alpnach,46.93770924,8.26973,07:30 - 19:00,Coop Supermarkt Alpnach,6055,39.0,,,Alpnach
Altdorf,46.88093319,8.64572762,07:30 - 18:30,Coop Supermarkt Altdorf,6460,,,,Altdorf (UR)
Altstätten,47.38140149,9.54698442,07:00 - 19:00,Coop Supermarkt Altstätten,9450,48.0,,,Altstätten
Amriswil,47.54738854,9.30198635,08:00 - 20:00,Coop Supermarkt Amriswil,8580,52.0,,,Amriswil
Andermatt,46.63439472,8.59620411,07:30 - 19:00,Coop Supermarkt Andermatt,6490,56.0,,,Andermatt
Anzère,46.29649144,7.39656327,08:00 - 18:30,Coop Supermarché Anzère,1972,,,,Ayent
Appenzell,47.33362622,9.40733718,07:30 - 19:00,Coop Supermarkt Appenzell,9050,61.0,,,Appenzell
Arbedo,46.2133841,9.04254621,07:30 - 19:00,Coop Supermercato Arbedo,6517,,,,Arbedo-Castione
Arbon,47.51146563,9.43059105,08:00 - 19:00,Coop Supermarkt Arbon Novaseta,9320,66.0,,,Arbon
Arbon,47.51087643,9.43241471,07:00 - 19:00,Coop Supermarkt Arbon Hamel,9320,66.0,,,Arbon
Arlesheim,47.49502985,7.62046315,08:00 - 20:00,Coop Supermarkt Arlesheim,4144,71.0,,,Arlesheim
Arosa,46.77869722,9.67738356,08:00 - 19:00,Coop Supermarkt Arosa Dorf,7050,77.0,,,Arosa
Arosa,46.78301516,9.68479454,08:00 - 19:00,Coop Supermarkt Arosa Valsana,7050,77.0,,,Arosa
Ascona,46.15564658,8.77147382,08:00 - 19:00,Coop Supermercato Ascona,6612,80.0,,,Ascona
Au,47.2421928,8.65562195,07:30 - 20:00,Coop Supermarkt Au Wädenswil,8804,,,,Wädenswil
Avenches,46.87760399,7.03163961,08:00 - 19:00,Coop Supermarché Avenches Milavy,1580,96.0,,,Avenches
Baar,47.19591195,8.52975733,07:30 - 19:00,Coop Supermarkt Baar Oberdorf,6340,102.0,,,Baar
Baar,47.19522095,8.52387038,06:30 - 19:00,Coop Supermarkt Baar Gotthard,6340,102.0,,,Baar
Bachenbülach,47.50612313,8.54184781,Closed,Coop Supermarkt Bachenbülach,8184,103.0,,,Bachenbülach
Bachenbülach,47.50586398,8.54166986,08:00 - 21:00,Coop Supermarkt Bachenbülach Provisorium,8184,103.0,,,Bachenbülach
Bad Ragaz,47.00333306,9.50216721,07:30 - 19:00,Coop Supermarkt Bad Ragaz,7310,105.0,,,Bad Ragaz
Bad Zurzach,47.58904727,8.29220046,08:00 - 19:00,Coop Supermarkt Bad Zurzach,5330,,,,Zurzach
Baden,47.47640735,8.30712079,06:00 - 21:00,Coop Supermarkt Baden Bahnhof,5400,106.0,,,Baden
Balsthal,47.3165866,7.69475769,08:00 - 18:30,Coop Supermarkt Balsthal,4710,113.0,,,Balsthal
Balzers,47.06616535,9.4982394,08:00 - 19:00,Coop Supermarkt Balzers,9496,,,,Wartau
Bäretswil,47.33520524,8.85517487,07:30 - 20:00,Coop Supermarkt Bäretswil,8344,117.0,,,Bäretswil
