Gemeinde,lat,long,name,GMDNAME
Aadorf,47.4902344,8.8995867,Denner Satellit,Aadorf
Aarau,47.3978954,8.0582168,Denner Filiale,Buchs (AG)
Aarau,47.3915253,8.0444202,Denner Filiale,Aarau
Aarberg,47.0509224,7.2840462,Denner Satellit,Aarberg
Aarburg,47.3323326,7.9055176,Denner Filiale,Aarburg
Aarwangen,47.23879,7.77041,Denner Partner,Aarwangen
Abtwil (SG),47.4173203,9.3159676,Denner Filiale,Gaiserwald
Adliswil,47.3123016,8.5242958,Denner Filiale,Adliswil
Adliswil,47.31528,8.53026,Denner Filiale,Adliswil
Adliswil,47.320401,8.521865,Denner Express,Adliswil
Aesch (BL),47.47106,7.59709,Denner Express,Aesch (BL)
Aeschi bei Spiez,46.6585312,7.6968794,Denner Satellit,Aeschi bei Spiez
Affoltern am Albis,47.27612,8.45027,Denner Filiale,Affoltern am Albis
Affoltern am Albis,47.2771149,8.4549284,Denner Filiale,Affoltern am Albis
Agno,45.9980087,8.9008131,Denner Partner,Agno
Aigle,46.3171883,6.9370742,Denner Filiale,Yvorne
Aigle,46.315611,6.965225,Denner Filiale,Aigle
Airolo,46.52785,8.60763,Denner Satellit,Airolo
Alle,47.4243317,7.1275897,Denner Partner,Alle
Allschwil,47.5474625,7.5535655,Denner Filiale,Allschwil
Allschwil,47.5510826,7.5503316,Denner Filiale,Allschwil
Altdorf (UR),46.87329,8.65088,Denner Filiale,Schattdorf
Altendorf,47.192177,8.829789,Denner Express,Altendorf
Alterswil (FR),46.79493,7.25993,Denner Partner,Rechthalten
Altstätten (SG),47.377182,9.5376997,Denner Filiale,Altstätten
Amriswil,47.54674,9.29799,Denner Filiale,Amriswil
Amriswil,47.5438347,9.2859087,Denner Filiale,Amriswil
Appenzell,47.332715,9.414436,Denner Satellit,Appenzell
Arbon,47.516098,9.4335985,Denner Filiale,Arbon
Arlesheim,47.491854,7.610246,Denner Filiale,Arlesheim
Arosa,46.78249,9.67983,Denner Express,Arosa
Arzier,46.45963,6.20732,Denner Express,Arzier-Le Muids
Assens,46.62769,6.63311,Denner Filiale,Echallens
Au (SG),47.43131,9.63784,Denner Bibite,Au (SG)
Aubonne,46.487724299999996,6.4008408,Denner Partner,Lavigny
Avry-Centre (FR),46.7877426,7.0785651,Denner Filiale,Avry
Ayent,46.2762624,7.4049402,Denner Satellit,Ayent
Baar,47.1960869,8.5299187,Denner Filiale,Baar
Bad Zurzach,47.588356,8.2933178,Denner Filiale,Zurzach
Baden,47.48317,8.28612,Denner Filiale,Obersiggenthal
Balsthal,47.308147,7.688735,Denner Satellit,Balsthal
Basel,47.53943,7.60401,Denner Express,Birsfelden
Basel,47.5492516,7.60745,Denner Filiale,Birsfelden
Basel,47.58054,7.59111,Denner Express,Basel
Basel,47.556324,7.5835977,Denner Filiale,Basel
Basel,47.5564003,7.5728359,Denner Express,Basel
Basel,47.5400887,7.5984688,Denner Filiale,Basel
Basel,47.5666313,7.590323,Denner Filiale,Basel
Basel,47.5615616,7.5736594,Denner Filiale,Basel
Basel,47.5671387,7.5949221,Denner Express,Basel
Basel,47.5435448,7.5921831,Denner Filiale,Basel
Basel,47.5621223,7.5932331,Denner Filiale,Basel
Basel,47.5605807,7.5980874,Denner Filiale,Basel
Basel,47.5485611,7.5865655,Denner Filiale,Basel
Basel,47.5687332,7.5694118,Denner Satellit,Basel
Basel,47.568549,7.579107,Denner Satellit,Basel
Basel,47.57928,7.59532,Denner Filiale,Basel
Basel,47.55275,7.59283,Denner Express,Basel
Bassecourt,47.334962,7.244131,Denner Partner,Haute-Sorne
Bassersdorf,47.44431,8.62662,Denner Filiale,Bassersdorf
Bauma,47.36816,8.87987,Denner Express,Bauma
Bazenheid,47.4123993,9.0684996,Denner Partner,Lütisburg
Beckenried,46.97021,8.46601,Denner Partner,Beckenried
Belfaux,46.8238257,7.0987289,Denner Filiale,Belfaux
Bellach,47.2110825,7.5023179,Denner Filiale,Bellach
Bellinzona,46.2015038,9.0338707,Denner Filiale,Bellinzona
Bellinzona,46.19371,9.01756,Denner Express,Bellinzona
Belmont-sur-Lausanne,46.5235443,6.678699,Denner Satellit,Belmont-sur-Lausanne
Belp,46.8907013,7.4986639,Denner Filiale,Belp
Belp,46.89641,7.49306,Denner Filiale,Belp
Berg (TG),47.5814899,9.1687778,Denner Satellit,Berg (TG)
Berikon,47.3638458,8.3662395,Denner Filiale,Widen
Bern,46.9438764,7.373184,Denner Filiale,Wohlen bei Bern
Bern,46.9613113,7.4529667,Denner Filiale,Bern
Bern,46.9451447,7.4268112,Denner Filiale,Bern
Bern,46.94358,7.40651,Denner Filiale,Köniz
Bern,46.9393349,7.4811845,Denner Filiale,Muri bei Bern
Bern,46.9580078,7.4443865,Denner Filiale,Bern
Bern,46.9392357,7.3900661,Denner Filiale,Köniz
Bern,46.9555099,7.43364,Denner Bibite,Bern
Bern,46.9366455,7.4327493,Denner Filiale,Bern
Bern,46.9482574,7.444911,Denner Filiale,Bern
Bern,46.9473038,7.3896251,Denner Filiale,Köniz
Bern,46.9479752,7.3828859,Denner Filiale,Wohlen bei Bern
Bern,46.9372628,7.38643,Denner Filiale,Köniz
Bern,46.94752,7.44338,Denner Express,Bern
Bern,46.94384,7.42109,Denner Express,Köniz
Bern,46.94794,7.43636,Denner Express,Bern
Bex,46.24972,7.0157,Denner Partner,Bex
Biasca,46.3532143,8.9717321,Denner Filiale,Biasca
Biberist,47.1843987,7.5626001,Denner Filiale,Biberist
Biel/Bienne,47.1349983,7.2441654,Denner Filiale,Biel/Bienne
Biel/Bienne,47.1318817,7.2526388,Denner Filiale,Biel/Bienne
Biel/Bienne,47.1358261,7.2480378,Denner Filiale,Biel/Bienne
Biel/Bienne,47.1462708,7.272325,Denner Filiale,Brügg
Biel/Bienne,47.15047,7.26302,Denner Filiale,Biel/Bienne
Biel/Bienne,47.15561,7.28132,Denner Filiale,Orpund
Bilten,47.1506996,9.0204,Denner Partner,Schänis
Binningen,47.5305214,7.5699825,Denner Filiale,Binningen
Birmensdorf (ZH),47.3596857,8.4540512,Denner Filiale,Uitikon
Birsfelden,47.5509987,7.6243,Denner Filiale,Birsfelden
Birsfelden,47.55449,7.61969,Denner Partner,Birsfelden
Bossonnens,46.52649,6.85246,Denner Partner,Bossonnens
Boudry,46.95476,6.84826,Denner Partner,Boudry
Bouveret,46.3843363,6.8534783,Denner Satellit,Port-Valais
Bözberg,47.49788,8.15731,Denner Express,Bözberg
Breganzona,46.0122299,8.9351149,Denner Filiale,Massagno
Breitenbach,47.408778,7.543369,Denner Filiale,Breitenbach
Bremgarten,46.9748917,7.4373045,Denner Filiale,Bremgarten bei Bern
Bremgarten (AG),47.3526993,8.3496199,Denner Filiale,Bremgarten (AG)
Bremgarten (AG),47.3501396,8.3457117,Denner Filiale,Bremgarten (AG)
Bremgarten (AG),47.3465309,8.3402634,Denner Satellit,Bremgarten (AG)
Brig,46.3184204,7.9852633,Denner Filiale,Brig-Glis
Broc,46.6024857,7.1050053,Denner Express,Broc
Brugg (AG),47.4811821,8.2087812,Denner Filiale,Brugg
Brügg (BE),47.1196632,7.2669926,Denner Filiale,Port
Brunnen,46.9999161,8.6089859,Denner Filiale,Ingenbohl
Brüttisellen,47.42381,8.63013,Denner Partner,Dietlikon
Bubendorf,47.4568596,7.7432175,Denner Filiale,Bubendorf
Buchs (AG),47.3847466,8.0890141,Denner Filiale,Suhr
Buchs (SG),47.1637054,9.4741914,Denner Filiale,Buchs (SG)
Buchs (SG),47.1669273,9.4764357,Denner Filiale,Buchs (SG)
Buchs (ZH),47.45675,8.43893,Denner Partner,Buchs (ZH)
Bühler,47.37381,9.41731,Denner Partner,Bühler
