name,Lat,Long,Ladentyp,GMDNAME
Aachtal,47.5482982,9.2732473,m,Sommeri
Aadorf,47.4900907,8.8994059,m,Aadorf
Aarau,47.3919981,8.0515956,mta,Aarau
Aarau,47.3917082,8.0460946,mm,Aarau
Aarau,47.3919221,8.0528306,m,Aarau
Abtwil ,47.4174113,9.316473,mm,Gaiserwald
Adligenswil,47.0715393,8.3619211,dmp,Adligenswil
Adliswil,47.3112824,8.5252672,mm,Adliswil
Aesch,47.4694175,7.5960676,mm,Aesch (BL)
Affoltern am Albis,47.2780275,8.453809,mm,Affoltern am Albis
Affoltern am Albis,47.2750156,8.4457167,soca,Affoltern am Albis
Agno,45.9983117,8.9056394,mgls,Agno
Aigle ,46.31611,6.9381022,mmm,Yvorne
Aigle ,46.3159644,6.964881,m,Aigle
Allschwil ,47.5485219,7.5463149,mgls,Allschwil
Allschwil ,47.547382,7.5536404,mmm,Allschwil
Allschwil ,47.5462124,7.5536691,shell,Allschwil
Allschwil ,47.5530962,7.5499775,m,Allschwil
Allschwil,47.5578704,7.5603772,dmp,Binningen
Glatt,47.4082791,8.5952402,alna,Wallisellen
Baden,47.4774968,8.3083072,alna,Baden
Basel,47.551838,7.59271,alna,Basel
Bern,46.9475701,7.443384,alna,Bern
Bülach,47.5209742,8.5399111,alna,Bülach
Zürich,47.38453,8.53111,alna,Zürich
Luzern ,47.0544369,8.3083917,alna,Luzern
Zug,47.1725892,8.517689,alna,Zug
Zürich,47.3744048,8.5440268,alna,Zürich
Zürich,47.4087478,8.543878,alna,Zürich
Solothurn,47.20708,7.536333,alna,Solothurn
St. Gallen,47.422413,9.370891,alna,St. Gallen
Uster,47.3498692,8.7155557,alna,Uster
Winterthur,47.4967661,8.7533556,alna,Winterthur
Zürich,47.3786818,8.535889,alna,Zürich
Zürich,47.3752669,8.5361463,alna,Zürich
Zürich,47.4032754,8.4982339,alna,Oberengstringen
Alpnach ,46.9341853,8.2762082,spez,Alpnach
Altdorf,46.8796664,8.6416105,m,Altdorf (UR)
Altdorf,46.8962178,8.626639,mgls,Flüelen
Altstätten (SG),47.3771836,9.5377008,mm,Altstätten
Amriswil,47.54671,9.297961,mm,Amriswil
Amriswil,47.5448552,9.2727591,mgls,Amriswil
Amriswil ,47.54741,9.298285,fm,Amriswil
Andelfingen,47.601998,8.6887258,m,Kleinandelfingen
Appenzell,47.3348204,9.4071483,mm,Appenzell
Arbedo-Castione,46.2250903,9.0440908,m,Arbedo-Castione
Arbon,47.5119795,9.432242,mm,Arbon
Arlesheim,47.494261,7.6185546,mm,Arlesheim
Ascona,46.1540856,8.773702,m,Ascona
Ascona,46.1550202,8.7718592,pica,Ascona
Au (SG),47.431293,9.6377624,m,Au (SG)
Avenches,46.8854592,7.0451655,m,Avenches
Avry,46.7876479,7.0781119,mmm,Avry
Baar,47.195539,8.5250447,m,Baar
Bad Ragaz,47.0035166,9.5014435,dmp,Bad Ragaz
Bad Zurzach,47.5857967,8.2959683,mm,Zurzach
Baden,47.4825931,8.278909,shell,Obersiggenthal
Baden ,47.4767306,8.3078837,mr,Baden
Baden ,47.4771453,8.3086998,mm,Baden
Baden,47.4564069,8.2830446,shell,Fislisbach
Baden,47.4499939,8.2908713,soca,Fislisbach
Balerna,45.8411348,9.0159183,pica,Balerna
Balerna,45.8415389,9.0159686,pica,Morbio Inferiore
Balerna,45.8361298,9.0116168,pica,Balerna
Balsthal,47.3168586,7.6955408,m,Balsthal
Basel ,47.5559314,7.5734192,m,Basel
Basel ,47.5479172,7.5886351,m,Basel
Basel ,47.5501347,7.5783333,dmp,Basel
Basel ,47.5622371,7.5724253,mm,Basel
Basel ,47.5615832,7.5920619,mmm,Basel
Basel ,47.5528056,7.5928077,mm,Basel
Basel ,47.5393434,7.6038713,fm,Birsfelden
Basel ,47.5691589,7.5965886,mm,Basel
Basel ,47.5701213,7.6152494,m,Birsfelden
Basel ,47.5694998,7.5695768,shell,Basel
Basel ,47.5435146,7.5922222,mm,Basel
Basel ,47.549313,7.607221,m,Birsfelden
Basel ,47.577495,7.5906325,dmp,Basel
Basel ,47.55872,7.6016293,m,Basel
Basel ,47.568176,7.5697693,dmp,Basel
Basel ,47.5471518,7.620699,dmp,Birsfelden
Basel ,47.5592591,7.5877372,m,Basel
Basel ,47.5685421,7.5796836,m,Basel
Basel ,47.5469569,7.5642044,m,Binningen
Basel ,47.5560094,7.5812888,m,Basel
Basel ,47.579952,7.5957171,m,Basel
Basel ,47.5524703,7.564058,dmp,Binningen
Basel ,47.5612305,7.5647563,dmp,Basel
Basel ,47.55512,7.6150933,dmp,Birsfelden
