Gemeinde,coordinatex,coordinatey,name,GMDNAME
Disentis/Mustér,46.702007,8.85108,SPAR Supermarkt Disentis/Mustér,Disentis/Mustér
Vaz/Obervaz,46.6973,9.528214,SPAR Supermarkt Vaz/Lain,Lantsch/Lenz
Luzern,47.042411,8.306149,SPAR Supermarkt Luzern-Neustadt,Luzern
Wilen bei Wil,47.451012,9.035122,SPAR Supermarkt Wilen b. Wil,Wilen (TG)
Weesen,47.133494,9.094999,SPAR Supermarkt Weesen,Weesen
Arnegg,47.443506,9.255942,SPAR Supermarkt Arnegg,Andwil (SG)
Sarnen,46.897307,8.247574,SPAR Supermarkt Sarnen,Sarnen
Freienbach,47.20643,8.754329,SPAR Supermarkt Freienbach,Feusisberg
Kloten,47.447722,8.584222,SPAR Supermarkt Kloten Breitistrasse,Kloten
Wettingen,47.464424,8.328798,SPAR Supermarkt Wettingen,Wettingen
Appenzell,47.33464,9.409004,SPAR Supermarkt Appenzell,Appenzell
Dietlikon,47.422981,8.618641,SPAR Supermarkt Dietlikon,Dietlikon
Lenzerheide,46.725257,9.557588,SPAR Supermarkt Lenzerheide,Vaz/Obervaz
Hünenberg,47.173432,8.449276,SPAR Supermarkt Cham,Cham
Murg,47.112734,9.214148,SPAR Supermarkt Murg,Quarten
Savognin,46.594924,9.601278,SPAR Supermarkt Savognin,Surses
Engelburg,47.441901,9.348834,SPAR Supermarkt Engelburg,Gaiserwald
Abtwil,47.424161,9.322873,SPAR Supermarkt Abtwil,Gaiserwald
Spreitenbach,47.425405,8.361983,SPAR Supermarkt Spreitenbach,Spreitenbach
Dübendorf,47.389641,8.617294,SPAR Supermarkt Dübendorf,Dübendorf
Urdorf,47.381319,8.424234,SPAR Supermarkt Urdorf,Urdorf
Weiningen,47.419928,8.434778,SPAR Supermarkt Weiningen,Weiningen (ZH)
Flurlingen,47.684494,8.627409,SPAR Supermarkt Flurlingen,Flurlingen
Grub,47.44778,9.510045,SPAR Supermarkt Grub,Grub (AR)
Schöfflisdorf,47.499201,8.414152,SPAR Supermarkt Schöfflisdorf,Schöfflisdorf
Buttisholz,47.107911,8.083955,SPAR Supermarkt Buttisholz,Buttisholz
Seewis Dorf,47.013623,9.637892,SPAR Supermarkt Seewis Dorf,Seewis im Prättigau
Mollis,47.094741,9.07454,SPAR Supermarkt Mollis,Glarus Nord
Wald,47.415943,9.491163,SPAR Supermarkt Wald,Wald (AR)
Benken,47.198543,9.004544,SPAR Supermarkt Benken,Benken (SG)
Altendorf,47.190481,8.836625,SPAR Supermarkt Altendorf,Altendorf
Dällikon,47.439346,8.441002,SPAR Supermarkt Dällikon,Dällikon
Altstätten,47.375327,9.553071,SPAR Supermarkt Altstätten,Altstätten
Gais,47.362897,9.454783,SPAR Supermarkt Gais,Gais
Winterthur,47.49058,8.720895,SPAR Supermarkt Winterthur,Winterthur
Muotathal,46.972048,8.766369,SPAR Supermarkt Muotathal,Muotathal
Hergiswil bei Willisau,47.085087,7.956636,SPAR Supermarkt Hergiswil b.Willisau,Hergiswil bei Willisau
Kloten,47.444122,8.578881,SPAR Supermarkt Bramen,Kloten
Oberbüren,47.451465,9.160322,SPAR Supermarkt Oberbüren,Oberbüren
Flawil,47.416359,9.173117,SPAR Supermarkt Flawil,Flawil
Schwerzenbach,47.381935,8.652604,SPAR Supermarkt Schwerzenbach,Schwerzenbach
Maienfeld,47.008149,9.530866,SPAR Supermarkt Maienfeld,Maienfeld
Eschlikon,47.462434,8.953921,SPAR Supermarkt Eschlikon,Eschlikon
Arth,47.064521,8.523606,SPAR Supermarkt Arth,Arth
Schöftland,47.31196,8.049747,SPAR Supermarkt Schöftland,Schöftland
Mettmenstetten,47.243828,8.461574,SPAR Supermarkt Mettmenstetten,Mettmenstetten
Unteriberg,47.058472,8.800525,SPAR Supermarkt Unteriberg,Unteriberg
Büren an der Aare,47.139239,7.372375,SPAR Supermarkt Büren a. A.,Büren an der Aare
