xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00241883,ch:1:sloid:94684:0:01,,1,,,20210504,,20220508,ch14uvag00051526,2656568,1249141,426.9
ch14uvag00241835,ch:1:sloid:2677:0:01,,1,,,20210504,,20220508,ch14uvag00044921,2655747,1244500,450.7
ch14uvag00238491,ch:1:sloid:1340:0:81187,,2,,,20210211,,20220508,ch14uvag00061429,2615119,1134499,1932.5
ch14uvag00235229,ch:1:sloid:76194::50,,50,,,20220207,,20220508,ch14uvag00065050,2683988,1245763,409.1
ch14uvag00226126,ch:1:sloid:90671::80,,80,,,20210720,,20220508,ch14uvag00049652,2683739,1241460,489
ch14uvag00230648,ch:1:sloid:76018::50,,50,,,20220207,,20220508,ch14uvag00047414,2700465,1239639,505.7
ch14uvag00240544,ch:1:sloid:8054::4,4,#4,120.00,32.00,20210301,,20220508,ch14uvag00064342,2601454,1203083,520
ch14uvag00240542,ch:1:sloid:8054::1,1,#1,120.00,32.00,20210301,,20220508,ch14uvag00064342,2601431,1203086,520
ch14uvag00227375,ch:1:sloid:90478::50,,50,,,20220207,,20220508,ch14uvag00038563,2682155,1240824,447.9
ch14uvag00235260,ch:1:sloid:2905:0:1,,1,,,20190722,,20220508,ch14uvag00222299,2598282.023,1199002.714,548.6
ch14uvag00228725,ch:1:sloid:92738:0:382285,,repe01,20.00,20.00,20200106,,20220508,ch14uvag00062214,2506283.417,1123374.237,436.9
ch14uvag00233127,ch:1:sloid:73599::50,,50,,,20220207,,20220508,ch14uvag00063174,2711666,1237130,619
ch14uvag00233405,ch:1:sloid:3367::50,,50,,,20220207,,20220508,ch14uvag00050892,2713008,1236114,627.7
ch14uvag00235502,ch:1:sloid:91247::12,,12,,,20220207,,20220508,ch14uvag00065190,2681660,1250071,444.1
ch14uvag00226349,ch:1:sloid:90519::50,,50,,,20220207,,20220508,ch14uvag00044397,2672480,1252288,384.4
ch14uvag00244819,ch:1:sloid:95116:0:1,,1,12.00,15.00,20211212,,20220508,ch14uvag00060335,2555414.07165,1147325.43904,495.5
ch14uvag00244826,ch:1:sloid:93954:0:2,,2,20.00,0.00,20211212,,20220508,ch14uvag00050548,2556270.22462,1145229.52105,425.3
ch14uvag00227548,ch:1:sloid:88753:1:2,,2,,,20200703,,20220508,ch14uvag00044554,2613744.418,1258651.359,358.2
ch14uvag00230833,ch:1:sloid:79192::52,,52,,,20220207,,20220508,ch14uvag00048876,2687088,1235412,423.5
ch14uvag00236572,ch:1:sloid:87969::50,,50,,,20220207,,20220508,ch14uvag00045364,2688008,1240105,529.7
ch14uvag00226289,ch:1:sloid:87965::53,,53,,,20220207,,20220508,ch14uvag00045361,2687167,1240067,418.8
ch14uvag00243856,ch:1:sloid:91361::0,,0,,,20220207,,20220508,ch14uvag00065306,2678942,1249528,398.2
ch14uvag00241381,ch:1:sloid:94170::941701,,941701,,,20210101,,20220508,ch14uvag00055651,2588741,1221164,443.4
ch14uvag00226383,ch:1:sloid:90577::50,,50,,,20220207,,20220508,ch14uvag00044654,2688911,1250544,432.8
ch14uvag00230078,ch:1:sloid:89325:1:2,,2,,,20200703,,20220508,ch14uvag00040092,2611927.987,1269571.016,251
ch14uvag00230049,ch:1:sloid:76887:1:1,,10,,,20051211,,20220508,ch14uvag00062001,2629640.728,1169999.726,565.9
ch14uvag00236796,ch:1:sloid:30279:0:24743,,2,,,20210211,,20220508,ch14uvag00058072,2590716,1150943,1416.7
ch14uvag00238163,ch:1:sloid:30408:0:141286,,1,,,20210211,,20220508,ch14uvag00049731,2703374,1206323,1811
ch14uvag00238155,ch:1:sloid:1252:0:731478,,1,,,20210211,,20220508,ch14uvag00040269,2553649,1147126,496.3
ch14uvag00238159,ch:1:sloid:30095:0:603979,,1,,,20210211,,20220508,ch14uvag00062407,2584147,1104700,1525.4
ch14uvag00239410,ch:1:sloid:30446:0:440117,,1,,,20210211,,20220508,ch14uvag00039360,2729100,1129000,813.6
ch14uvag00232207,ch:1:sloid:8014::50,,50,,,20220207,,20220508,ch14uvag00225074,2695984,1262256,432.4
ch14uvag00227552,ch:1:sloid:88750:1:2,,2,,,20200703,,20220508,ch14uvag00044546,2613503.414,1259323.36,346
ch14uvag00241203,ch:1:sloid:76423::764231,,764231,,,20210101,,20220508,ch14uvag00060814,2589137,1218467,433.4
ch14uvag00240936,ch:1:sloid:76909::769092,,769092,,,20210101,,20220508,ch14uvag00063297,2617902,1230959,465.2
ch14uvag00242510,ch:1:sloid:78888::312602,,2,,,20211212,,20220508,ch14uvag00039517,2700829,1117444,277.8
ch14uvag00232359,ch:1:sloid:4453:0:1,,1,,,20190101,,20220508,ch14uvag00062978,2595603.657,1213647.503,532.941
ch14uvag00234794,ch:1:sloid:81897:0:2,,2,,,20200703,,20220508,ch14uvag00054312,2609096.472,1190671.593,524.4
ch14uvag00226681,ch:1:sloid:88045::51,,51,,,20220207,,20220508,ch14uvag00061865,2694215,1235832,484.6
ch14uvag00226211,ch:1:sloid:88031::51,,51,,,20220207,,20220508,ch14uvag00053078,2693156,1237623,655
ch14uvag00226672,ch:1:sloid:94644::50,,50,,,20220207,,20220508,ch14uvag00061858,2694465,1235899,499.1
ch14uvag00230758,ch:1:sloid:88943:2:7,,7,,,20200703,,20220508,ch14uvag00040160,2613768.4,1266036.529,256
ch14uvag00229132,ch:1:sloid:90523::81,,81,,,20210720,,20220508,ch14uvag00044404,2672481,1251954,385.5
ch14uvag00239133,ch:1:sloid:89837::1,,1,,,20210201,,20220508,ch14uvag00052499,2666100.97286,1210263.48551,446
ch14uvag00239311,ch:1:sloid:89833::2,,2,,,20210201,,20220508,ch14uvag00052491,2668416.93297,1212105.24959,488.9
ch14uvag00228822,ch:1:sloid:93096:0:115416,,lmld01,20.00,22.00,20200106,,20220508,ch14uvag00058350,2493565.303,1120029.144,422.5
ch14uvag00242333,ch:1:sloid:5397::49102,,2,,,20211212,,20220508,ch14uvag00042743,2711427,1092823,290.2
ch14uvag00225976,ch:1:sloid:3251::50,,50,,,20220207,,20220508,ch14uvag00063672,2702899,1242658,543.9
ch14uvag00226150,ch:1:sloid:90532::51,,51,,,20220207,,20220508,ch14uvag00044414,2671880,1250544,406.5
ch14uvag00226391,ch:1:sloid:90561::0,,0,,,20220207,,20220508,ch14uvag00044637,2688228,1250792,428.3
ch14uvag00226393,ch:1:sloid:90561::50,,50,,,20220207,,20220508,ch14uvag00044637,2688257,1250800,429.6
ch14uvag00231879,ch:1:sloid:92937:0:309730,,pxph01,18.00,14.00,20200106,,20220508,ch14uvag00047525,2498012.391,1121240.141,426.8
ch14uvag00231707,ch:1:sloid:7180:1:7,H,16,,,20030124,,20220508,ch14uvag00061264,2614617.038,1178224.024,560
ch14uvag00240606,ch:1:sloid:4463::44634,3,44634,60.00,35.00,20210101,,20220508,ch14uvag00061014,2581762,1212860,491.3
ch14uvag00243932,ch:1:sloid:91536::336302,,2,,,20211212,,20220508,ch14uvag00041852,2697414,1107226,321.3
ch14uvag00235595,ch:1:sloid:91128::81,,81,,,20210720,,20220508,ch14uvag00065063,2684742,1252515,425.4
ch14uvag00233844,ch:1:sloid:91268::80,,80,,,20210720,,20220508,ch14uvag00065211,2681647,1243686,430.3
ch14uvag00240476,ch:1:sloid:4678:0:97165,,HPLN_34,,,20210223,,20220508,ch14uvag00056355,2596786.14007,1106803.61027,1605.8
ch14uvag00227875,ch:1:sloid:76597:1:1,,10,,,20151213,,20220508,ch14uvag00058955,2623018.336,1183149.169,946.6
