Gemeinde_Name;E;N;Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Hšhe
Orvin;2584774;1223670;Orvin, Petit-Moulin;VB TPB;Haltestelle;Bus;594
Hölstein;2624834;1252535;Hölstein, Süd;AAGL;Haltestelle;Bus;488
Zermatt;2624713;1094452;Riffelboden;GGB;Dienststation;;2358
Richterswil;2694614;1228236;Grüenfeld;SOB;Haltestelle;Zug;592
Saint-Maurice;2566599;1118546;St-Maurice VS, Terreaux;PAG;Haltestelle;Bus;410
Buchs (SG);2754187;1225357;Buchs SG, Sekundarschule;BOS;Haltestelle;Bus;449
Basel;2612722;1268398;Basel, Badischer Bf (Vzw Ost);BVB;Verzweigung, Abzweigung, Spaltweiche;;256
Marly;2577896;1180821;Marly, Innovation Center;TPF;Haltestelle;Bus;594
Goms;2658887;1143990;Blitzingen;MGB;Haltestelle;Zug;1267
Frenkendorf;2621133;1261228;Frenkendorf-Füllinsdorf;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;311
St. Gallen;2745680;1252604;Liebegg;AB;Ausweiche;;741
Stansstad;2671740;1205060;Obbürgen, Moos;PAG;Haltestelle;Bus;750
Schmitten (FR);2584312;1188387;Berg FR, Restaurant;TPF;Haltestelle;Bus;653
Buttisholz;2651128;1219734;Buttisholz, Gattwil;ARAG;Haltestelle;Bus;610
Oberrieden;2686605;1236455;Oberrieden, Seehalde;SZU;Haltestelle;Bus;424
Bourg-en-Lavaux;2544505;1149540;Grandvaux, Le Bougnon;PAG;Haltestelle;Bus;505
Arosa;2767410;1182904;Plattenhorn;ABB;Haltestelle;Sesselbahn;2310
Blumenstein;2606301;1176607;Blumenstein, Gemeindehaus;STI;Haltestelle;Bus;670
Pratteln;2618994;1263578;Pratteln;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;290
Rümlang;2682822;1256299;Rümlang, Hofwisenunterführung;VBG;Haltestelle;Bus;420
Echichens;2526980;1155414;St-Saphorin-sur-Morges, village;MBC;Haltestelle;Bus;529
Uerkheim;2644372;1239691;Uerkheim, Schweizermatten;AVA;Haltestelle;Bus;459
Beurnevésin;2577466;1260141;Beurnevésin, Couronne;PAG;Haltestelle;Bus;430
Begnins;2508486;1143915;Begnins, poste;PAG;Haltestelle;Bus;538
Basel;2613257;1267212;Basel, Breite;BVB;Haltestelle;Bus / Tram;261
Oberglatt;2681246;1258758;Oberglatt ZH, Rietli;PAG;Haltestelle;Bus;430
Saint-Imier;2566231;1222524;St-Imier (funiculaire);SMtS;Haltestelle;Standseilbahn;793
Wollerau;2696989;1227590;Wollerau, Sonnenberg;PAG;Haltestelle;Bus;539
Arth;2683600;1212080;Oberarth, Bifang;AAGS;Haltestelle;Bus;448
Tévenon;2538900;1191920;La Combaz VD (Romairon);PAG;Haltestelle;Bus;1223
Churwalden;2762402;1180495;Parpan Obertor;LHB;Haltestelle;Sesselbahn;1548
Lauerz;2687193;1209633;Lauerz, Mühle;AAGS;Haltestelle;Bus;460
Bernex;2493237;1113488;Bernex, Sézenove-village;TPG;Haltestelle;Bus;488
Gambarogno;2708377;1111337;Vira NLM;NLM;Haltestelle;Schiff;194
Henniez;2557537;1176953;Henniez, village;PAG;Haltestelle;Bus;483
Bever;2787859;1158335;Bever;RhB FR VR;Haltestelle und Bedienpunkt;Zug;1710
Altstätten;2758250;1247950;Hinterforst, Widenbach/Bächis;BOS;Haltestelle;Bus;452
Niederhasli;2680074;1258023;Oberhasli, Post;VBG;Haltestelle;Bus;438
Seedorf (UR);2689579;1192884;Seedorf UR, Dorf;AAGU;Haltestelle;Bus;376
